Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.204959477882735,8.607397826495094e-05
2,0.40530189983257375,8.578751581981129e-05
3,0.5968863273401476,8.534560405905869e-05
4,0.7764727143134307,8.47909983490401e-05
5,0.9421279523995434,8.416734271568548e-05
6,1.0936548335042755,8.350956302353073e-05
7,1.232967740605677,8.283647321086127e-05
8,1.3641631054882104,8.214685069854059e-05
9,1.4929875380694195,8.142051842566958e-05
10,1.6256278990098643,8.062504292505238e-05
11,1.7670180564806104,7.972738213351997e-05
12,1.9161047098584156,7.872911170445281e-05
13,0.1698143054575843,8.610507136361923e-05
14,0.3104351973785022,8.594616515268515e-05
15,0.487141394748063,8.561831132977663e-05
16,0.6620462513252287,8.515957474737548e-05
17,0.8261650554963702,8.461483236423524e-05
18,0.9763556912749605,8.40258219205649e-05
19,1.1124922565967879,8.342226913662903e-05
20,1.2370065158063706,8.281603078207868e-05
21,1.3545325369084715,8.219923243785748e-05
22,1.4711361534153466,8.154701440158062e-05
23,1.5931140672489956,8.082433587740446e-05
24,1.7255649833550442,7.999566978084023e-05
25,1.8556344640476086,7.91401728459087e-05
26,1.705987677579987,8.012092195396353e-05
27,1.5708718131744086,8.095908194048952e-05
28,1.4456110797211585,8.169309627384379e-05
29,1.3240258347138103,8.236335044937647e-05
30,1.1994925270448638,8.300393012362708e-05
31,1.0661515372378838,8.36348675641219e-05
32,0.9198932301734833,8.42570051263421e-05
33,0.7589435972151097,8.48508472101714e-05
34,0.5843852803138491,8.537926435632239e-05
35,0.40258185750301345,8.57926283183812e-05
36,0.24265602945974396,8.603421779129854e-05
37,0.32225641342876393,8.592864406016473e-05
38,0.4288265343568974,8.574191977797402e-05
39,0.5721709918203509,8.541151427884293e-05
40,0.7213789982957843,8.497501092747399e-05
41,0.8643115880721519,8.447317560471672e-05
42,0.9965128067837582,8.394051983035477e-05
43,1.1176824460318722,8.339800911512729e-05
44,1.230459770805392,8.284914166164713e-05
45,1.3395529732956568,8.228016405329283e-05
46,1.4506581484370475,8.16643562155264e-05
47,1.569194751065806,8.096918898494671e-05
48,1.6990415749479144,8.016513516967615e-05
49,1.6738955841366199,8.032419219994153e-05
50,1.5334230975156276,8.118299112693428e-05
51,1.405036903004025,8.19215215426521e-05
52,1.2832361991276773,8.257842618553496e-05
53,1.1615117642099184,8.31895930866403e-05
54,1.034111734787689,8.377758361712924e-05
55,0.8975169120917379,8.434540991681052e-05
56,0.7519009917790682,8.487455185260535e-05
57,0.6037919719899114,8.532672768672795e-05
58,0.4730662910106407,8.564951727072763e-05
59,0.44465367777830306,8.570985660198553e-05
60,0.5245299702101881,8.553122160883362e-05
61,0.6382025755977577,8.522969317767254e-05
62,0.7628671556961608,8.483755608661025e-05
63,0.8867022129100418,8.438747352280902e-05
64,1.0048789549124684,8.39046933778229e-05
65,1.1169092913718546,8.340162868326198e-05
66,1.225123981494564,8.287602846142549e-05
67,1.33341760419299,8.231312010040477e-05
68,1.4459981916526212,8.169089443747095e-05
69,1.5663033875118388,8.098659672314269e-05
70,1.6401307929314992,8.053526924281576e-05
71,1.489061782613534,8.144334141215218e-05
72,1.3533546154183091,8.220562054445063e-05
73,1.23034421667727,8.28497248817376e-05
74,1.1146843000153168,8.341203401180239e-05
75,1.0011528650622696,8.392068011310831e-05
76,0.8870900263964936,8.438597263917962e-05
77,0.7747155219881647,8.479705221839517e-05
78,0.6738355902319384,8.512404159640333e-05
79,0.5321730140887645,8.551267292753562e-05
80,0.590538841781441,8.53627776841142e-05
81,0.6817356718900874,8.509991278145454e-05
82,0.7886407767311726,8.474874604329434e-05
83,0.9005496182858759,8.433353641288222e-05
84,1.0124376008345826,8.387211324057535e-05
85,1.1231602346561662,8.337230765267481e-05
86,1.233881430990304,8.28318530031564e-05
87,1.346715805171485,8.22415475442626e-05
88,1.4636526630038396,8.159003155913899e-05
89,1.5859602325612554,8.08678162425435e-05
90,1.4361163247388675,8.17469688241563e-05
91,1.2922036064609639,8.253157535620903e-05
92,1.169244346590464,8.315217100700887e-05
93,1.0642165031101927,8.364358678721273e-05
94,0.9728060468017161,8.40406938977485e-05
95,0.8924246357325735,8.436527032866685e-05
96,0.8243997886042213,8.462125360246332e-05
97,0.5892301264407356,8.536629739291109e-05
98,0.6335601818796113,8.524307202628042e-05
99,0.7118321791161148,8.500566902009321e-05
100,0.8101957166826085,8.467248639437377e-05
101,0.9185146047507854,8.426250505295351e-05
102,1.03113804197321,8.379064985653476e-05
103,1.1457026045013077,8.326549599137873e-05
104,1.2616812418283527,8.269003366419906e-05
105,1.379184181484832,8.206460672218011e-05
106,1.4982605662199886,8.138979624510925e-05
107,1.380137493015077,8.205936489358568e-05
108,1.230390868492499,8.284948942764305e-05
109,1.1105632687653848,8.343126274877525e-05
110,1.0205596016200262,8.38368817958819e-05
111,0.9568003137088078,8.410719316027181e-05
112,0.9150929082785465,8.427612554669478e-05
113,0.6287141307906505,8.525694235315247e-05
114,0.6681509469731781,8.514124620761092e-05
115,0.7426897213532434,8.490525986237504e-05
116,0.8398214544095062,8.456475436236007e-05
117,0.9494363488187177,8.413747904275602e-05
118,1.0651665511683295,8.363930748767882e-05
119,1.1834837469305697,8.308275275020592e-05
120,1.3024024638664227,8.247799334764529e-05
121,1.4205451898420176,8.183476584660128e-05
122,1.326758178128922,8.234876414201498e-05
123,1.1772373693241107,8.311328492781158e-05
124,1.0661118726429661,8.363504642023531e-05
125,0.995542853216889,8.394465750625709e-05
126,0.9615629656977291,8.408750174686986e-05
127,0.6668371706644376,8.514520354662802e-05
128,0.7082703023122544,8.501701359595706e-05
129,0.7837459147310247,8.476581237813674e-05
130,0.8815441971241684,8.440738238229311e-05
131,0.9919369918754908,8.396001041305746e-05
132,1.1083550419947776,8.344154302708378e-05
133,1.2265638075633039,8.286878206553793e-05
134,1.3436003294942624,8.225836249932858e-05
135,1.2816789545898122,8.258653709346264e-05
136,1.142247270950156,8.328197684711221e-05
137,1.0480373705476305,8.371598803162493e-05
138,1.0011522639340498,8.39206826882969e-05
139,0.7137882866315108,8.49994171058823e-05
140,0.7581870830001672,8.4853402939374e-05
141,0.8333350748094281,8.458862861449827e-05
142,0.9289867022273336,8.42205531500122e-05
143,1.0364360677949156,8.376734928395065e-05
144,1.1492788401049787,8.32483972525809e-05
145,1.2627988934105805,8.26842818432381e-05
146,1.2628557650421701,8.268398905898878e-05
147,1.1361295460827903,8.33110602651243e-05
148,1.0683726074940885,8.36248437226999e-05
149,0.7677785316132039,8.482083333661849e-05
150,0.8111181850989668,8.46691826927921e-05
151,0.8817125870328332,8.440673399839407e-05
152,0.971263635982012,8.404714212837335e-05
153,1.072082963923233,8.360806114111847e-05
154,1.1777728187554932,8.311067258847379e-05
155,1.2533583614033166,8.273274449702132e-05
156,1.1697392535282631,8.314976928550746e-05
157,0.8188754937914712,8.464127132019834e-05
158,0.8562491939959951,8.450357451290761e-05
159,0.9187417330193676,8.426159942039997e-05
160,0.9995761864326136,8.392743010880354e-05
161,1.0915143284351934,8.351940692509185e-05
162,1.1878818779181157,8.306117945698765e-05
163,0.8571944498987955,8.450002314506266e-05
164,0.8855922033115615,8.43917662960545e-05
165,0.9383605690035847,8.418266146512626e-05
166,1.009418813058528,8.388514921191777e-05
167,0.8772341840215697,8.442394202562542e-05
168,0.8956319777119629,8.435277256301433e-05
169,0.37028266432656753,8.58507953016301e-05
170,0.5070597544464462,8.557267117736384e-05
171,0.6667053281419746,8.514560029049708e-05
172,0.8226873648137426,8.462747121805407e-05
173,0.9669292767886136,8.406521688460912e-05
174,1.09816685003952,8.348876236782285e-05
175,1.218852634228238,8.290751486304046e-05
176,1.3338924399417607,8.23105735274025e-05
177,1.4493773065381454,8.167165662736825e-05
178,1.5706367784065636,8.09604988573842e-05
179,1.6944058975683665,8.019457568439795e-05
180,0.4849202668777687,8.562329344830745e-05
181,0.5966800318169965,8.53461648764344e-05
182,0.7302975092516794,8.494604063797958e-05
183,0.8633817367762934,8.447669405594722e-05
184,0.9882536964021653,8.397564551205975e-05
185,1.104140796082001,8.346111699581337e-05
186,1.2138593426943802,8.293249573396288e-05
187,1.3219945069117454,8.23741799781065e-05
188,1.432908001250944,8.176511505121877e-05
189,1.5459996759765084,8.110821207164992e-05
190,1.6175235988005716,8.067497391108346e-05
191,1.5335659222066282,8.118214429059489e-05
192,1.411714856772483,8.188424845634765e-05
193,1.2940543249152983,8.25218756491722e-05
194,1.1802908194552213,8.309837542394173e-05
195,1.0653790215849626,8.363835003602033e-05
196,0.944970282702868,8.415575131570012e-05
197,0.8181407567473918,8.464392487617831e-05
198,0.6901424137602727,8.507395737733258e-05
199,0.5766528088642987,8.539975419109415e-05
200,0.5697339158387619,8.541787325629754e-05
201,0.6598796332271687,8.516604296906e-05
202,0.7712097374341376,8.480909419704262e-05
203,0.8860181219927982,8.439011967032792e-05
204,0.9979814771394544,8.393424838140133e-05
205,1.1064004529766935,8.345062891937836e-05
206,1.213309724335034,8.293524059155527e-05
207,1.3213988154245433,8.237735341720663e-05
208,1.430732192750695,8.177740480069423e-05
209,1.5227287793131674,8.124624364500024e-05
210,1.4835230048601176,8.147546977851787e-05
211,1.3611799607799713,8.216310550627318e-05
212,1.2405700215610735,8.279795154758399e-05
213,1.130421412986824,8.333808532408513e-05
214,1.0278006910954571,8.38052774304294e-05
215,0.9292360198780815,8.42195494840298e-05
216,0.8348121991573915,8.458320589480396e-05
217,0.750764460760026,8.487835892762168e-05
218,0.6258259321918819,8.526516249229274e-05
219,0.7011254808872515,8.503961569579263e-05
220,0.7984906617774217,8.471412123300507e-05
221,0.9039875764144252,8.432003516413138e-05
222,1.0118776660518252,8.387453360896293e-05
223,1.120597294489242,8.338434521927665e-05
224,1.230341607331978,8.28497380510348e-05
225,1.340397027981413,8.227562146748294e-05
226,1.4397802373682937,8.172621019106798e-05
227,1.4319217053362083,8.177068766804883e-05
228,1.307160163271825,8.245288987746196e-05
229,1.1837044330845203,8.308167174291047e-05
230,1.079998125034775,8.357210311042061e-05
231,0.9953597830154283,8.394543808340196e-05
232,0.9265477474216415,8.423035956946853e-05
233,0.872301460492855,8.44428089881564e-05
234,0.6648420042978376,8.515119983415167e-05
235,0.7340798177207364,8.493365850781912e-05
236,0.8265300394794749,8.461350323052893e-05
237,0.9304561500549268,8.421463439590723e-05
238,1.0398788287421827,8.375215600617187e-05
239,1.1518891387350796,8.323589043593641e-05
240,1.2642603258769296,8.267675498549905e-05
241,1.3692054621036995,8.211931614693164e-05
242,1.3851730802933715,8.20316326315861e-05
243,1.2573167054253496,8.27124580752753e-05
244,1.1336567573235208,8.33227808366881e-05
245,1.0401941476295211,8.375076242076619e-05
246,0.9775275812702446,8.402090217432498e-05
247,0.9412727813776319,8.417082448731681e-05
248,0.7024107148259628,8.503556515154095e-05
249,0.7723764798810974,8.480509191428896e-05
250,0.8649856442702336,8.447062302015243e-05
251,0.9699248807824179,8.405273205927084e-05
252,1.080988444863937,8.356758919798162e-05
253,1.1940561742508486,8.30307891758018e-05
254,1.3029475954887684,8.247512049455766e-05
255,1.353020611581497,8.220743117012041e-05
256,1.2167189661372013,8.29181990116655e-05
257,1.0994398503743756,8.348288139333505e-05
258,1.0216852645846244,8.383198073583308e-05
259,0.9833462869446139,8.3996402071057e-05
260,0.7485876083625054,8.488563653060796e-05
261,0.8205062441989583,8.463537434305343e-05
262,0.9126612204875559,8.428577905758445e-05
263,1.0163618947706257,8.385511931938208e-05
264,1.125600712415509,8.336082502095661e-05
265,1.234819184488242,8.282710839529117e-05
266,1.309695727196988,8.243948332099328e-05
267,1.1915347310297015,8.3043214634854e-05
268,1.090932506823817,8.352207997903792e-05
269,1.0353816540420013,8.377199432079072e-05
270,0.8018391915392223,8.470226461223406e-05
271,0.8721921412596285,8.444322608685496e-05
272,0.9601740580699327,8.40932526744094e-05
273,1.0588696214956057,8.366761320532569e-05
274,1.1626056227647739,8.318431111430357e-05
275,1.2598304781740146,8.269954984114972e-05
276,1.191182482465988,8.304494886536166e-05
277,1.1190000886916454,8.339183591556463e-05
278,0.8525169841607696,8.45175636291559e-05
279,0.9168358810645768,8.4269192791664e-05
280,0.9972551406115814,8.393735090193863e-05
281,1.088301077191922,8.353415526400732e-05
282,1.1850132983491821,8.307525718920852e-05
283,1.2300551575597671,8.285118362547536e-05
284,0.8907548291795165,8.437176180692612e-05
285,0.9461990543565032,8.415073116508986e-05
286,1.0172945554695396,8.385107256421567e-05
287,1.0991334457554,8.348429741059709e-05
288,0.9108505778845117,8.429295297533627e-05
289,0.9563228232555863,8.410916286741918e-05
290,0.6570423438383566,8.517448424548297e-05
291,0.7519579757740478,8.487436083696347e-05
292,0.8597322037959757,8.44904720227461e-05
293,0.9680340996866534,8.406061603584727e-05
294,1.0734370002255331,8.360192493412993e-05
295,1.1777230912709888,8.311091523683026e-05
296,1.284336559161958,8.257269048989529e-05
297,1.3935531863105906,8.198531819415764e-05
298,1.4875171873922357,8.145230952995781e-05
299,0.7112285072817562,8.500759530815018e-05
300,0.7921728616395455,8.473637321508458e-05
301,0.8860491697799416,8.438999961141599e-05
302,0.9836188962846636,8.399525127562627e-05
303,1.0825940694805585,8.356026364786608e-05
304,1.183933453387066,8.308054974607986e-05
305,1.2876545526606022,8.255537285190237e-05
306,1.3839134058427458,8.203857688961455e-05
307,1.4209821888903922,8.183231125113134e-05
308,1.345784408003664,8.224657752650905e-05
309,1.2379206912952643,8.281139655470668e-05
310,1.1342053567729213,8.332018231445845e-05
311,1.0398420975320215,8.375231832132104e-05
312,0.9529750031656768,8.41229499749193e-05
313,0.8725959337432118,8.444168522653678e-05
314,0.8024537457519698,8.4700083858612e-05
315,0.7490443905294614,8.488411098209439e-05
316,0.8239831577279986,8.462276737578942e-05
317,0.9127173464782372,8.428555648906603e-05
318,1.007925455702144,8.38915861295251e-05
319,1.1070988251852907,8.34473840075293e-05
320,1.2088823742506407,8.295731636319447e-05
321,1.306680652505756,8.245542306317855e-05
322,1.3662991082231075,8.21351958272306e-05
323,1.303510037757654,8.247215547132752e-05
324,1.1950860654101316,8.302570810737871e-05
325,1.0954967150395496,8.35010801099638e-05
326,1.0146849704902037,8.38623877349755e-05
327,0.9514982695430988,8.41290186677756e-05
328,0.9039322286914155,8.432025286660544e-05
329,0.7852978048191395,8.476041169373704e-05
330,0.8609875950687728,8.448573824243829e-05
331,0.950164354881944,8.413449367607242e-05
332,1.0465190085172924,8.372273652746525e-05
333,1.1466936882741965,8.32607616067042e-05
334,1.2455271117115758,8.277273607731336e-05
335,1.3183996205769128,8.239331491710895e-05
336,1.2707183553661496,8.264341513670201e-05
337,1.1622400688478178,8.318607671652734e-05
338,1.069816803002636,8.36183169493155e-05
339,1.0057360427965145,8.390100914477861e-05
340,0.9678283024776293,8.406147337489222e-05
341,0.8299292212568443,8.460110022934705e-05
342,0.9080156143860383,8.430416110561844e-05
343,0.9976657678450407,8.39355971511152e-05
344,1.0935309485698121,8.351013317457928e-05
345,1.1910868365522325,8.304541969166723e-05
346,1.2744901309610728,8.262388380028809e-05
347,1.246688524536956,8.276681718207925e-05
348,1.1432270789136367,8.32773074506791e-05
349,1.0639125445435371,8.364495525641412e-05
350,1.019710241663397,8.384057692478221e-05
351,0.8818986111500376,8.440601759116487e-05
352,0.9592912798724376,8.409690431334325e-05
353,1.0460285505967726,8.372491471476224e-05
354,1.1378859714403855,8.33027228900647e-05
355,1.2272218101205856,8.286546828018588e-05
356,1.2409332567496638,8.279610646601627e-05
357,1.1444005306963774,8.32717110738313e-05
358,1.0860783116172632,8.354433704140848e-05
359,0.9320379983554444,8.420825410953341e-05
360,1.0043462700024475,8.390698184771425e-05
361,1.0848490274847111,8.354996083245732e-05
362,1.17094957641836,8.314389239802566e-05
363,1.237805230431939,8.28119820044411e-05
364,1.1753981913538547,8.312225082313083e-05
365,0.9704130158365433,8.405069460880421e-05
366,1.0345427013862556,8.377568743003862e-05
367,1.1072346647249944,8.344675265421639e-05
368,1.187851706278934,8.306132766366119e-05
369,0.9908089242388574,8.396480401407819e-05
370,1.0451656599235013,8.37287449121254e-05
371,0.8380120879107958,8.457143016303615e-05
372,0.9017815591918928,8.432870346255588e-05
373,0.9764507110731698,8.402542319751015e-05
374,1.0596049170143804,8.36643149259486e-05
375,1.1514929501972124,8.32377901422852e-05
376,1.2494255843496518,8.275285172154604e-05
377,1.3331152292180186,8.231474140562958e-05
378,0.8721917978032613,8.444322739721457e-05
379,0.9367472696172978,8.418920562741996e-05
380,1.011981502397262,8.387408485000673e-05
381,1.0956633276649648,8.350031220123039e-05
382,1.1857579822588946,8.307160514670064e-05
383,1.2703541143183192,8.264529896507452e-05
384,1.294452460395584,8.251978763993735e-05
385,1.2191781917122204,8.29058833985806e-05
386,1.1267978973833632,8.335518496292215e-05
387,1.0469105237885656,8.372099716251733e-05
388,0.9833174771942803,8.399652367335796e-05
389,0.9348656201955482,8.419682636998997e-05
390,0.915178284401289,8.427578621896203e-05
391,0.9828073096847629,8.399867653709659e-05
392,1.0592783851838365,8.366577986237661e-05
393,1.1421491719812626,8.3282444176318e-05
394,1.224752884370095,8.287789507121082e-05
395,1.2688903379771233,8.265286539246237e-05
396,1.1994283271239192,8.30042478628761e-05
