Mode_Index,Frequency_THz,Cv_Contribution_eV_K
0,0.0,0.0
1,0.23565958723325597,8.616312713040357e-05
2,0.4648415799009826,8.613363318293616e-05
3,0.681618812373122,8.60879991371261e-05
4,0.8813261585126962,8.603072711894494e-05
5,1.0615517133289858,8.596653248458977e-05
6,1.223260785292691,8.589885844284843e-05
7,1.3714152393617622,8.582851617405146e-05
8,1.514125348989661,8.575323985276352e-05
9,1.659914218681805,8.56687454931696e-05
10,1.8140230874578958,8.557111472344465e-05
11,1.9744659982929598,8.546042956012213e-05
12,2.1169450668280003,8.535443916090211e-05
13,0.20201876467809868,8.616583272430773e-05
14,0.36238798741113115,8.614920196612911e-05
15,0.5611098541008274,8.611549434562982e-05
16,0.7548382942932741,8.606869550473279e-05
17,0.9326187975554665,8.601366398456133e-05
18,1.0911812566097279,8.595484497334754e-05
19,1.2322191757026768,8.589483140116856e-05
20,1.3617699464033084,8.583333791836402e-05
21,1.4887083289285914,8.576718573887278e-05
22,1.622031035493174,8.569143792081774e-05
23,1.7679269282901806,8.560121121595995e-05
24,1.9274118521002366,8.549384437226645e-05
25,2.0296813537279776,8.542021225975313e-05
26,1.8700322424955287,8.5533521402128e-05
27,1.716217332899329,8.563406538440408e-05
28,1.5750141326712186,8.571888261430507e-05
29,1.4435917520426476,8.579136541999065e-05
30,1.314493720177643,8.58564839362518e-05
31,1.178534374521568,8.59185278663082e-05
32,1.0277435064060942,8.59794775285556e-05
33,0.8576176226797991,8.603828925567057e-05
34,0.6684011948845685,8.609127466618299e-05
35,0.46757695123888693,8.613316471474652e-05
36,0.28736208590519513,8.615815835978886e-05
37,0.378241125450237,8.614704492701118e-05
38,0.49576023365738503,8.612817809431924e-05
39,0.6515886824668156,8.609534859592796e-05
40,0.8109718437203431,8.605256774425261e-05
41,0.9599766658334531,8.600417020234455e-05
42,1.0944611539854192,8.595353154350825e-05
43,1.2166370056386924,8.590181726216781e-05
44,1.3334327909168147,8.58473088198542e-05
45,1.454263998478445,8.578571221288465e-05
46,1.5879742661097394,8.5711397070731e-05
47,1.739953978041655,8.561910329462491e-05
48,1.9105111998341542,8.550565315158965e-05
49,1.7791170820995326,8.55939751278722e-05
50,1.6205879028213364,8.569229215497982e-05
51,1.4810120340342257,8.577136252768179e-05
52,1.3564188685094922,8.583599841860277e-05
53,1.238020575823464,8.589220795898456e-05
54,1.1160301716690362,8.594479667776376e-05
55,0.9831291816177281,8.599592236451393e-05
56,0.83725190501526,8.604462113044996e-05
57,0.6846660438431412,8.608723490983172e-05
58,0.5465283234725152,8.611846023249735e-05
59,0.5085323645236036,8.612582229754477e-05
60,0.5891744417867115,8.610956658721304e-05
61,0.7056896201888937,8.608186966186679e-05
62,0.8326917055942339,8.60460181592994e-05
63,0.9570482731312714,8.600519947551284e-05
64,1.0748378412909625,8.596133126175933e-05
65,1.188803683454136,8.591407602915186e-05
66,1.3060086869670067,8.586055235164914e-05
67,1.434751405103249,8.579601705319316e-05
68,1.5811644214357157,8.571533786667655e-05
69,1.7468840283061675,8.561469686456766e-05
70,1.6973286666897889,8.564582697381394e-05
71,1.524837226438682,8.574729254088718e-05
72,1.3777890561508739,8.582531136676371e-05
73,1.2546975009620982,8.588459843181805e-05
74,1.147491241864455,8.593175212714817e-05
75,1.0464221910640008,8.597237702690394e-05
76,0.9448198289196699,8.600946371130438e-05
77,0.8427048462106836,8.604294062730677e-05
78,0.7494519610330839,8.607018243517766e-05
79,0.5827844383032678,8.61109416620408e-05
80,0.6314388354051137,8.610009478173065e-05
81,0.717960082737866,8.607866342633776e-05
82,0.8233296283795473,8.604886242865724e-05
83,0.9356301500900447,8.60126323611271e-05
84,1.0509615701536816,8.5970632222126e-05
85,1.1714838878918994,8.59215621124182e-05
86,1.3023920974683594,8.586227850073681e-05
87,1.4484204082921033,8.578881272980777e-05
88,1.6110508611664407,8.569791855949662e-05
89,1.6198048175294897,8.569275537303836e-05
90,1.4304233775709514,8.579828407516238e-05
91,1.27169978702836,8.587673647673374e-05
