Mode_Index,Frequency_THz,Cv_Contribution_eV_K
0,0.0,0.0
1,0.22861285634193443,8.615950280247094e-05
2,0.45117577636310435,8.611948262801571e-05
3,0.662171002858357,8.605738909710154e-05
4,0.8572556220561026,8.597911447352557e-05
5,1.034122563371707,8.589087993167399e-05
6,1.1934823185035288,8.579736541068541e-05
7,1.3396730775044468,8.569994181561677e-05
8,1.4800967973001717,8.559592007767064e-05
9,1.623037505888496,8.547957294226369e-05
10,1.7745389694713514,8.534479468550631e-05
11,1.9352680488518421,8.518898571251678e-05
12,2.0890880752794625,8.502759222530708e-05
13,0.19453339751150275,8.616331844830408e-05
14,0.3503481666352646,8.614085692506155e-05
15,0.5440170397480053,8.609505363565615e-05
16,0.7334277919090325,8.603111894417659e-05
17,0.9080745257473786,8.59554410763455e-05
18,1.0647197117289782,8.587395388811349e-05
19,1.2046695378140402,8.579030295435731e-05
20,1.3332343706985579,8.570446644164905e-05
21,1.4585279812658674,8.561256089324631e-05
22,1.5891822183869586,8.550808072409062e-05
23,1.7317458101334018,8.538405592444366e-05
24,1.8886750954870126,8.523550622695693e-05
25,1.9983242394033578,8.51242729773893e-05
26,1.8374150316413749,8.528541076369626e-05
27,1.6855213211519728,8.542541201458596e-05
28,1.5465005127091773,8.554318009587286e-05
29,1.4165477653237082,8.564425986803328e-05
30,1.2881544505382618,8.573554228399243e-05
31,1.1526719432776067,8.582257594736085e-05
32,1.0028747826042588,8.590766049711534e-05
33,0.8348269251276559,8.598913145911077e-05
34,0.648950838413249,8.606196892432746e-05
35,0.4524772520637583,8.61191716225403e-05
36,0.2769536128453171,8.615303665692844e-05
37,0.36517673661131433,8.613805035384428e-05
38,0.48014674412876934,8.611234797719467e-05
39,0.6331155908221412,8.606733349140303e-05
40,0.7901871980962877,8.600828188815696e-05
41,0.9378341444532503,8.594094897906838e-05
42,1.0718484085300766,8.586994006659821e-05
43,1.193896923178171,8.579710483540887e-05
44,1.3100095018039135,8.5720608296791e-05
45,1.4286773159057855,8.563519458305295e-05
46,1.5582166073969916,8.553363878104344e-05
47,1.704199953766213,8.540883245177829e-05
48,1.8680040673937315,8.525579161049576e-05
49,1.7573594315900387,8.536066884632238e-05
50,1.602185365836174,8.549720117963319e-05
51,1.464524950184951,8.560795822916242e-05
52,1.3400966082249175,8.569964343689839e-05
53,1.2206051345066267,8.578013031001344e-05
54,1.0971403084551694,8.585548520708402e-05
55,0.96322094528781,8.592821940664508e-05
56,0.8172844894662322,8.599678203664155e-05
57,0.6656719947795826,8.605616083956998e-05
58,0.5292895061044786,8.609923241848771e-05
59,0.4935158359020162,8.610890615844556e-05
60,0.5739649798135301,8.608620332856086e-05
61,0.6898782464758695,8.604749192357513e-05
62,0.8164278766596913,8.599715148135513e-05
63,0.9407663990501262,8.59394959260925e-05
64,1.058757654560746,8.587729043508504e-05
65,1.1724121357017063,8.581048988488836e-05
66,1.2877560620016162,8.573581220780731e-05
67,1.4121879459549085,8.564749966971079e-05
68,1.5515470383884005,8.553907899498623e-05
69,1.708001842272144,8.540543590842258e-05
70,1.6856243071325487,8.542532109239031e-05
71,1.5179617316238727,8.556612530092755e-05
72,1.3733094585226073,8.567595516024397e-05
73,1.24991889941971,8.576107234625954e-05
74,1.1403839622257383,8.582999672107127e-05
75,1.036062125457529,8.588982151757572e-05
76,0.9312670094758924,8.594418691535684e-05
77,0.8265767115073817,8.599274966377303e-05
78,0.7315184040088711,8.603185772274797e-05
79,0.5707615563879945,8.608717260757604e-05
80,0.6217422834141383,8.60711049406758e-05
81,0.7094970019276855,8.60402395684669e-05
82,0.8153823919765493,8.599760186137677e-05
83,0.9277322935771551,8.594592035355677e-05
84,1.042367156276011,8.588636728469167e-05
85,1.1606833337649256,8.581769541829764e-05
86,1.2870012485163955,8.573632339730467e-05
87,1.4255789186680414,8.563751747852145e-05
88,1.578162517452644,8.551723263045964e-05
89,1.6164663898093918,8.54851522389205e-05
