Mode_Index,Frequency_THz,Cv_Contribution_eV_K
0,0.0,0.0
1,0.1973420552443624,8.59161405492825e-05
2,0.3905465291937256,8.517126417753205e-05
3,0.5759340057765019,8.401192800935767e-05
4,0.7506385513746866,8.254028253910475e-05
5,0.9128578467112944,8.08654936782084e-05
6,1.0620749528705993,7.908279514877392e-05
7,1.199282150470662,7.725643768315326e-05
8,1.32711768638621,7.540871748427668e-05
9,1.4497198716376565,7.351787240479571e-05
10,1.5720167197223311,7.152912541531751e-05
11,1.6976174978974132,6.93939274624877e-05
12,1.8168244500056288,6.729355773972125e-05
13,0.16177048364920174,8.600040188617355e-05
14,0.29754111355967455,8.558999239510425e-05
15,0.46885674526164345,8.473356465166695e-05
16,0.6391955426510882,8.352034331250959e-05
17,0.8000752346514101,8.206029912810351e-05
18,0.9483772855132958,8.046142030820003e-05
19,1.083455275021292,7.880955033894176e-05
20,1.2066307398791645,7.715389652758528e-05
21,1.3210172858527094,7.549987634477762e-05
22,1.4312077910107983,7.381030419351577e-05
23,1.5426007486878932,7.20161285744222e-05
24,1.6599108541463081,7.004395761513192e-05
25,1.7812216754472552,6.792763880764296e-05
26,1.6555534480439105,7.011859526874477e-05
27,1.5305997798618047,7.221328836589725e-05
28,1.41232281178467,7.410615938576468e-05
29,1.2945501135714819,7.589200887720615e-05
30,1.1715519651455675,7.763917207648028e-05
31,1.0388283125346698,7.937495974906599e-05
32,0.8935354189832322,8.107981133447443e-05
33,0.7347053378682179,8.268913698604403e-05
34,0.5636634755866788,8.41017238975184e-05
35,0.38649021989295146,8.519182960579841e-05
36,0.2315225661636565,8.581956992059342e-05
37,0.30839011254146625,8.554686639822295e-05
38,0.41234960316059766,8.505715248723811e-05
39,0.552709634241055,8.41803449651927e-05
40,0.6995137989926511,8.300767044748881e-05
41,0.8410726307819453,8.16417937897955e-05
42,0.9728341169590293,8.017570069779235e-05
43,1.0938020569195936,7.86757747946293e-05
44,1.2053633051926689,7.717161518260574e-05
45,1.3106996294681488,7.565339518464463e-05
46,1.4142324298228792,7.407635761676857e-05
47,1.5209102066559288,7.23718170992913e-05
