Mode_Index,Frequency_THz,Cv_Contribution_eV_K
0,0.0,0.0
1,0.2482090673369066,8.616201134004108e-05
2,0.472834966621984,8.613225649962244e-05
3,0.6702181150360329,8.609082819897957e-05
4,0.8478044850775155,8.604135916978946e-05
5,1.0117545854864443,8.598545450279679e-05
6,1.1647919934236661,8.592442531163195e-05
7,1.3074871681108597,8.585984532629809e-05
8,1.4389981374046996,8.579378602666218e-05
9,1.5569543961757282,8.572921258805497e-05
10,1.6568498048441296,8.567060031324956e-05
11,1.7315538310748466,8.5624421356017e-05
12,1.772258217066417,8.559841572660313e-05
13,0.24355073679768866,8.616243227074798e-05
14,0.4027075295883326,8.614353484320952e-05
15,0.5813042508592697,8.61112580505972e-05
16,0.7479915543203428,8.607058375977418e-05
17,0.9026686288432736,8.60237440156979e-05
18,1.048511354180836,8.597157494642617e-05
19,1.18773635364097,8.591454051175698e-05
20,1.3211213338742207,8.585328795442729e-05
21,1.4476603461951691,8.57892150991813e-05
22,1.5639646950681816,8.57252167423021e-05
23,1.6636489485763994,8.566648037738796e-05
24,1.737451241096744,8.562069040623771e-05
25,1.7520571942102288,8.561139629929224e-05
26,1.6981943056506175,8.564529076175091e-05
27,1.6110696414497256,8.569790751221426e-05
28,1.5026594403019637,8.575955989304037e-05
29,1.382438955934446,8.582296407525918e-05
30,1.2556264253395681,8.58841716024676e-05
31,1.1237313790398753,8.594163686320572e-05
32,0.9858536761476665,8.59949389301676e-05
33,0.839698802766697,8.604386838291503e-05
34,0.6821571929610916,8.60878643618632e-05
35,0.51129101243109,8.612530561148112e-05
36,0.3402725766430896,8.615205691115783e-05
37,0.43415746418984796,8.613870008494212e-05
38,0.5380829741145445,8.61201423617271e-05
39,0.6663704629586105,8.609177224177138e-05
40,0.7988197723955085,8.605615691788112e-05
41,0.9312025283281636,8.601414802265169e-05
42,1.0637131974068916,8.596569069236616e-05
43,1.1966646072667064,8.591064233908975e-05
44,1.3289291521386197,8.584950241485284e-05
45,1.4571946105963078,8.578415262682976e-05
46,1.5755166414857196,8.571859350268e-05
47,1.6752443633919945,8.565941577493254e-05
48,1.7056047189559194,8.564068942706447e-05
49,1.6364042022206944,8.568288907019332e-05
50,1.5337801783417233,8.574229561896811e-05
51,1.415236768178584,8.580618520730052e-05
52,1.2933680553260385,8.586656486114585e-05
53,1.1743763399065221,8.592031950425757e-05
54,1.0591677820476844,8.596745893487101e-05
55,0.9455919934767865,8.600919606083706e-05
56,0.8307668669321973,8.604660555676055e-05
57,0.7136820203084028,8.607978753067515e-05
58,0.6000388526965724,8.610719429894077e-05
59,0.5522369932389495,8.61173083746058e-05
60,0.6149802458610756,8.610386112132966e-05
61,0.7082218549109573,8.608121251076387e-05
62,0.819292669773374,8.605007899804312e-05
63,0.9420059375356616,8.601043723069398e-05
64,1.072896719486698,8.59620951793797e-05
65,1.208576759199338,8.590539624083779e-05
66,1.3445530645653034,8.58418609545458e-05
67,1.4748062784988214,8.577471480955868e-05
68,1.5916873275362966,8.570924131276316e-05
69,1.638480566256161,8.568164794404459e-05
70,1.557431041038737,8.57289414638653e-05
71,1.4428602133763047,8.579175141549792e-05
72,1.3184008136023664,8.58546017769403e-05
73,1.198612633689867,8.590978795828442e-05
74,1.090668134388692,8.595505009792913e-05
75,0.9958417177112807,8.599131048333832e-05
76,0.9119421396743834,8.602065793438753e-05
77,0.8362140873031914,8.604493973680719e-05
78,0.768410079595,8.60649018525695e-05
79,0.6066092930037884,8.61057386217963e-05
80,0.6455694577979546,8.60967819730345e-05
81,0.7248276742365114,8.60768448855821e-05
82,0.8326918265519907,8.604601812234459e-05
83,0.9586788686809988,8.600462673901316e-05
84,1.0945207419144225,8.595350764537811e-05
85,1.2332477724548074,8.589436715272641e-05
86,1.3683436282192503,8.58300553501362e-05
87,1.4932532768497309,8.576470913808362e-05
88,1.558420455753738,8.572837840529769e-05
89,1.4712622937345086,8.577662298721679e-05
90,1.3525860143403685,8.583789769570618e-05
91,1.2293553201707639,8.589612195324566e-05
92,1.1163085627898586,8.594468282968608e-05
93,1.021458464811845,8.598183812032464e-05
94,0.9475344187600347,8.600852180797092e-05
95,0.8935735127188613,8.602674021880291e-05
96,0.8570834031978168,8.603845728526938e-05
97,0.6285320914357563,8.61007671709071e-05
98,0.6659193780611523,8.609188256280843e-05
99,0.7500313399343937,8.607002300368248e-05
100,0.8644717735435005,8.603612414576583e-05
101,0.9943633712125094,8.599184983029438e-05
102,1.1291378775496652,8.593940567233255e-05
103,1.2614297609436183,8.588149794762947e-05
104,1.3856797750420304,8.582132346329923e-05
105,1.4716811623292312,8.577639769357333e-05
106,1.3957478000814503,8.581620242665886e-05
107,1.2724901683011078,8.587636844709182e-05
108,1.1591537073843352,8.592682506935183e-05
109,1.058345155506001,8.59677781457778e-05
110,0.9782882126644101,8.599766308111117e-05
111,0.9237577824368479,8.601668036886937e-05
112,0.8961295705485816,8.602590122970807e-05
113,0.6599441856763119,8.609333687215925e-05
114,0.7098128711728169,8.608079841832084e-05
115,0.8010907436151056,8.605549027895429e-05
116,0.9146909877754038,8.601973712522648e-05
117,1.036376827619463,8.597621147104599e-05
118,1.157579433904179,8.592749304373803e-05
119,1.273367670034775,8.587595958542121e-05
120,1.3807928252707236,8.582379594532085e-05
121,1.3155112703034835,8.585599428628147e-05
122,1.207055921354705,8.590606888823824e-05
123,1.1122351327143913,8.594634584536354e-05
124,1.0296731287882555,8.597874989422123e-05
125,0.9667706225469727,8.600177020525334e-05
126,0.9300495309795541,8.601454154155711e-05
127,0.720610888210843,8.607796353813496e-05
128,0.7761011359044138,8.606272209207654e-05
129,0.8601122696197977,8.603750322637099e-05
130,0.957535778568442,8.600502834396704e-05
131,1.0589188177209101,8.59675555686787e-05
132,1.1595130717655542,8.592667246233617e-05
133,1.2573666964704395,8.588337112586466e-05
134,1.2400256180725926,8.589129841903184e-05
135,1.1561144365262594,8.592811384168229e-05
136,1.086564688964197,8.595668703217986e-05
137,1.0277455946781024,8.597947674183034e-05
138,0.9854230878603994,8.599509453561734e-05
139,0.7892533988029109,8.605894439718001e-05
140,0.8322533059823599,8.604615206356883e-05
141,0.8943016317820969,8.602650146732927e-05
142,0.9673113713604952,8.600157845948491e-05
143,1.047018391528711,8.597214829326896e-05
144,1.1318544786310463,8.593828055080053e-05
145,1.1696641810965365,8.592234230593929e-05
146,1.1271475771862953,8.594022828055086e-05
147,1.0766067857763815,8.596063390810507e-05
148,1.0455553995030744,8.597270934231776e-05
149,0.8295234630505588,8.60469842825897e-05
150,0.8484831830295124,8.604114798085946e-05
151,0.8859524775815902,8.602922754662911e-05
152,0.9400225811024588,8.601112167398319e-05
153,1.0096805161469473,8.59862230002663e-05
154,1.0940562128806115,8.595369391354381e-05
155,1.0922947563169552,8.595439951338345e-05
156,1.0776288974420458,8.596023045140854e-05
157,0.8227919428212144,8.604902480844134e-05
158,0.8207865712805084,8.604962949359573e-05
159,0.8456151054352692,8.604203928652363e-05
160,0.8982475526467371,8.602520422452034e-05
161,0.9766400798315032,8.59982537659956e-05
162,1.0680980548721837,8.596397777550447e-05
163,0.7806419394308352,8.606142499987998e-05
164,0.7747693542378061,8.606310108825604e-05
165,0.808088073926176,8.605342436725669e-05
166,0.8780935040536926,8.603177030850506e-05
167,0.7405493146419162,8.607261678745966e-05
168,0.7520537867314792,8.606946551084585e-05
169,0.49070249837720986,8.612909444325156e-05
170,0.6209278460308969,8.610251154321299e-05
171,0.7580359152478944,8.606780775938985e-05
172,0.8910896077825916,8.602755323814484e-05
173,1.0198936511831962,8.598242360756991e-05
174,1.1464640464715983,8.593218371657153e-05
175,1.272372796305226,8.58764231140066e-05
176,1.3972948085691508,8.581541229738714e-05
177,1.5174635317703014,8.575139091353583e-05
178,1.6242637469785364,8.569011483290493e-05
179,1.7024248764042171,8.56426662987166e-05
180,0.5964456933520275,8.610798366837166e-05
181,0.6889931532105721,8.608614385368693e-05
182,0.7976003779919653,8.60565140902421e-05
183,0.913143077993261,8.602025598350976e-05
184,1.033482974086411,8.59773092674944e-05
185,1.1581087265857428,8.592726856204579e-05
186,1.2857634090098775,8.587015407558464e-05
187,1.4129876190115438,8.580734827532666e-05
188,1.5324846419852354,8.574302129503439e-05
189,1.6282991874057073,8.568771890644774e-05
190,1.635310707494039,8.568354207189051e-05
191,1.5464212225123037,8.573518312716036e-05
192,1.430053948071976,8.579847726849994e-05
193,1.3068629933001126,8.586014391002528e-05
194,1.187220935450725,8.591476466411541e-05
195,1.0750910860899314,8.59612314974607e-05
196,0.970271055993503,8.600052708559001e-05
197,0.8708393804250424,8.60340973429397e-05
198,0.7757808639560916,8.606281329378927e-05
199,0.6884747499102145,8.608627492769173e-05
200,0.6475175828971798,8.609631951266285e-05
201,0.7179266485815059,8.607867223748014e-05
202,0.8146181861215167,8.605148024539158e-05
203,0.9274672668560593,8.601542110945371e-05
204,1.050505432882555,8.597080788737967e-05
205,1.179189025912368,8.591824521346181e-05
206,1.3088618230951925,8.585918724034268e-05
207,1.433213015014872,8.57968236386575e-05
208,1.5385433171856153,8.573962240704416e-05
209,1.5561448359365628,8.572967289268956e-05
210,1.4575692164506522,8.578395304868992e-05
211,1.3369860655551562,8.584557293051204e-05
212,1.2159937444897047,8.590210375535114e-05
213,1.1056041258344267,8.594904009404362e-05
214,1.0103762613440537,8.598596538315337e-05
215,0.9306941358737266,8.601432159722474e-05
216,0.8651160995982123,8.60359197312449e-05
217,0.812846738287998,8.6052009175939e-05
218,0.6690165245001987,8.609112359820399e-05
219,0.7378113352319595,8.607335963185796e-05
220,0.8386920201093764,8.604417836793307e-05
221,0.9573695837247523,8.600508669394445e-05
222,1.0839434398373917,8.595772948291177e-05
223,1.2113882097831388,8.590415055830136e-05
224,1.3337417824402356,8.584715804924368e-05
225,1.4408727989695178,8.57927990950452e-05
226,1.4686403370048262,8.577803179794955e-05
227,1.369380089294584,8.582953636437461e-05
228,1.2528905665100731,8.588542779844186e-05
229,1.1407132754480678,8.593459288579774e-05
230,1.043332364638252,8.59735603701222e-05
231,0.9661328678407058,8.600199621149812e-05
232,0.9110874055327907,8.602094369079279e-05
233,0.8778947483368156,8.603183432311373e-05
234,0.6995423254471861,8.608345520441829e-05
235,0.7789055879679022,8.606192188389102e-05
236,0.8856999629855005,8.602930959831815e-05
237,1.0037376204380888,8.598841631233253e-05
238,1.1230332436538337,8.594192419885561e-05
239,1.237405654440263,8.589248661090651e-05
240,1.340106726182115,8.584404461178843e-05
241,1.3801601756184114,8.582411539294125e-05
242,1.2887733762598312,8.586873595106646e-05
243,1.1854724169107027,8.591552436495419e-05
244,1.0891570968279898,8.595565358991006e-05
