Mode_Index,Frequency_THz,Cv_Contribution_eV_K
55,0.928552488390463,8.476128252571627e-05
56,0.819871152950664,8.507008276669071e-05
57,0.7070303536844306,8.535124686873578e-05
58,0.5945145715711474,8.559110025667505e-05
59,0.5457821711992976,8.568232600522594e-05
60,0.6065972266717778,8.556729474398375e-05
61,0.6948071596760916,8.537926956704842e-05
62,0.7995266620991951,8.512375969705389e-05
63,0.9152272496927708,8.480113314184669e-05
64,1.0386950513050441,8.441080197768862e-05
65,1.166808056675139,8.39563730015088e-05
66,1.29541210422355,8.345058581671227e-05
67,1.4188239012803634,8.291951129209766e-05
68,1.5296827201670322,8.240518091573208e-05
69,1.5722042704537498,8.219872271772627e-05
70,1.4968787561068795,8.256099880190924e-05
71,1.3903508976597994,8.304595502644259e-05
72,1.275262693883012,8.353307160915612e-05
73,1.1655943665439112,8.396091120904958e-05
74,1.0678475967171137,8.431178459839327e-05
75,0.9823494529036311,8.459478311338154e-05
76,0.9058394078392767,8.482887593801373e-05
77,0.8345079889667711,8.503065660550809e-05
78,0.766975864056314,8.52069166751532e-05
79,0.6017772812906677,8.557684757315632e-05
80,0.6393785156088786,8.550033852181228e-05
81,0.7137601585417984,8.533561442572385e-05
82,0.8149415198926342,8.508320917059804e-05
83,0.9334653759611553,8.474645039083807e-05
84,1.061540786228058,8.433342625524004e-05
85,1.192479455036682,8.385934696209948e-05
86,1.3200223661273822,8.334822045737724e-05
87,1.4378774664940466,8.283359809281926e-05
88,1.497122447948699,8.255985243824862e-05
89,1.4176092496941244,8.292495293402748e-05
90,1.308372725949436,8.339689798770463e-05
91,1.1955092082700058,8.384776558086173e-05
92,1.0931817508472028,8.422362823414943e-05
93,1.0085445311885148,8.451046662605271e-05
94,0.9430938696379011,8.471716385348648e-05
95,0.8945354514019515,8.48619158332318e-05
96,0.8592300346181234,8.496253209883855e-05
97,0.6257621494160434,8.552857024775257e-05
98,0.6618703924342394,8.545239925899972e-05
99,0.7410735231188229,8.527068569784424e-05
100,0.8486658914717874,8.499187814407498e-05
101,0.9708400361882961,8.463115903661531e-05
102,1.0975153912968783,8.420835249842974e-05
103,1.221595473593537,8.374691488201559e-05
104,1.337778078006916,8.327326562600124e-05
105,1.4165251142330524,8.292980628822892e-05
106,1.349284702985394,8.322420000582988e-05
107,1.237408433603879,8.368479403537313e-05
108,1.1349060575774907,8.407418605786572e-05
109,1.04454760668933,8.439113240016345e-05
110,0.9734644286252275,8.462290063631205e-05
111,0.9250757642558048,8.477173342256113e-05
112,0.8995836297461037,8.484721007280703e-05
113,0.6591728577967312,8.545823452982423e-05
114,0.7076501456863551,8.534981322246342e-05
115,0.793919480824477,8.513832361241568e-05
116,0.9004529716058383,8.484466956507548e-05
117,1.0140140200416816,8.44925944386513e-05
118,1.1265259916673172,8.410462394372406e-05
119,1.2333711678286656,8.37007250220124e-05
120,1.3319498862204733,8.329797052085045e-05
121,1.277268420975861,8.352491434887088e-05
122,1.1810768756923906,8.39026874688766e-05
123,1.096765328268399,8.421100049743755e-05
124,1.0232862113191583,8.446208612870709e-05
125,0.9668953029378414,8.464353213509381e-05
126,0.9329534790740263,8.474799932792657e-05
127,0.7212336271256939,8.531808509502728e-05
128,0.7749397014339612,8.518688201362368e-05
129,0.8536498878795038,8.497807686307713e-05
130,0.9436104810127544,8.471558435093331e-05
131,1.036268376894761,8.441892686512602e-05
132,1.127391319321077,8.41014907545207e-05
133,1.2154834604787688,8.377072634385365e-05
134,1.2100665218821771,8.379173680762816e-05
135,1.1382658394346132,8.40619231172428e-05
136,1.0778903769177703,8.427707237615991e-05
137,1.0256411974092696,8.445429540908298e-05
138,0.9864675633420473,8.458166814261884e-05
139,0.7899832914888325,8.514848788536738e-05
140,0.8305979869854627,8.504125482254828e-05
141,0.886912963339205,8.488396968017992e-05
142,0.9519442990429446,8.468998969382287e-05
143,1.0222544788963388,8.446549391528653e-05
144,1.0969538213562355,8.421033520826052e-05
145,1.147334726824404,8.402865221724319e-05
146,1.1151971548560482,8.414543439379423e-05
