T,a,gamma_mean,omega_mean,n_modes
T50,0.02781778498230004,0.07820613556584999,3.0548117026849733,2727
T100,0.04616906971438229,0.13785215524312097,3.085120485778346,2727
T150,0.06252802464532864,0.19120735265675903,3.11931868042485,2727
T200,0.07670485934491814,0.2381429543790186,3.152520416186458,2727
T250,0.08895779452945245,0.27977441150043464,3.183705994782769,2727
T300,0.09986837414018167,0.31770954377473865,3.212726949229041,2727
