Frequency_THz,Cv_Contribution_eV_K
0.1973420552443624,8.593757561395235e-05
0.3905465291937256,8.52538847068475e-05
0.5759340057765019,8.418749026704034e-05
0.7506385513746866,8.284077553869828e-05
0.9128578467112944,8.130476201347793e-05
1.0620749528705993,7.967853851664566e-05
1.199282150470662,7.799950100456876e-05
1.32711768638621,7.629491677325764e-05
1.4497198716376565,7.451112007317289e-05
1.5720167197223311,7.239403206259025e-05
1.6976174978974132,7.007148457885152e-05
1.8168244500056288,6.582227825302511e-05
0.16177048364920174,8.600787528497421e-05
0.29754111355967455,8.562517591156886e-05
0.46885674526164345,8.483140970585561e-05
0.6391955426510882,8.371028891121487e-05
0.8000752346514101,8.23703954649857e-05
0.9483772855132958,8.090855457411672e-05
1.083455275021292,7.940089046288123e-05
1.2066307398791645,7.787623641538682e-05
1.3210172858527094,7.63413225572427e-05
1.4312077910107983,7.474431553630816e-05
1.5426007486878932,7.284273625420797e-05
1.6599108541463081,7.070982440490685e-05
1.7812216754472552,6.71106003269356e-05
1.6555534480439105,7.098064844841096e-05
1.5305997798618047,7.31143357129121e-05
1.41232281178467,7.499294311269475e-05
1.2945501135714819,7.666129663655805e-05
1.1715519651455675,7.829612002555185e-05
1.0388283125346698,7.988493109097663e-05
0.8935354189832322,8.144479056818266e-05
0.7347053378682179,8.292526530059822e-05
0.5636634755866788,8.423036862315245e-05
0.38649021989295146,8.524440835981782e-05
0.2315225661636565,8.583444879623817e-05
0.30839011254146625,8.55731885317989e-05
0.41234960316059766,8.511389193177152e-05
0.552709634241055,8.429857013815005e-05
0.6995137989926511,8.321676412604323e-05
0.8410726307819453,8.196237288122702e-05
0.9728341169590293,8.062601048410772e-05
1.0938020569195936,7.926326676766661e-05
1.2053633051926689,7.787347777281735e-05
1.3106996294681488,7.64580484270815e-05
1.4142324298228792,7.493595066203645e-05
1.5209102066559288,7.315559350419462e-05
1.6350306138927904,7.104046746854254e-05
1.6445894613664391,7.118518871468497e-05
1.5102245200626525,7.344474817982087e-05
1.3857207456624108,7.529973133209915e-05
1.2652287630155012,7.697278904128863e-05
1.1429540034087589,7.857043452344975e-05
1.0142984114630134,8.008635494905297e-05
0.8767842999481571,8.154253982498323e-05
0.7311844135410742,8.289265131177482e-05
0.5840928475890175,8.404274949559565e-05
0.4550461839368253,8.486605036298021e-05
0.4290680106027542,8.501650221993457e-05
0.5088695285409659,8.456113585380545e-05
0.6219040532729452,8.380004423127911e-05
0.7460297850270013,8.281039999933979e-05
0.8697641909041666,8.167095153831153e-05
0.9880547070458316,8.045088520499264e-05
1.0995803315088397,7.918448695941965e-05
1.2053796204841951,7.785085289798925e-05
1.3079989553402331,7.6480263793844e-05
1.4108190022457086,7.499215347557677e-05
1.5174605387024414,7.321886318824132e-05
1.6251604561673552,7.150062788731597e-05
1.4794672370044597,7.382992390760202e-05
1.3467252869863746,7.578611806358917e-05
1.2239714466502192,7.746944598058456e-05
1.106512350838308,7.896291214536444e-05
0.9901884781101166,8.029630682300468e-05
0.8732712724118248,8.151928171921392e-05
0.7584738677935333,8.260690361958079e-05
0.6556596508927781,8.347958117140925e-05
0.5200686246299504,8.448247888592704e-05
0.5807837882531035,8.408324174898036e-05
0.6730269690069375,8.340257133949192e-05
0.7802131565972426,8.250339145305937e-05
0.891967994576897,8.144170960982517e-05
1.0030152008725202,8.027753136543451e-05
1.111388498922782,7.90281299019125e-05
1.2171452604241038,7.767943751136631e-05
1.3214976463470198,7.627321171136736e-05
1.4262546377169685,7.474751631718358e-05
1.5335254099524842,7.293567244530395e-05
1.4364895755480265,7.442868066483878e-05
1.2959254646995355,7.645330701274118e-05
1.1733065034030024,7.80994389306545e-05
1.0660692003379344,7.940991041494776e-05
0.9708214414796749,8.04743015376339e-05
0.8858426515990251,8.136063788263104e-05
0.8129799024331084,8.207778891996829e-05
0.5854859596129456,8.404621539053209e-05
0.6336351198254112,8.370182962275778e-05
0.7132319560715947,8.307398479493396e-05
0.8111019713482942,8.221428616060276e-05
0.9176251036893391,8.11756700065082e-05
