Mode_Index,Frequency_THz,Cv_QPA_eV_K
0,0.0,0.0
1,0.2403318495595724,8.613336914241517e-05
2,0.4562970396120541,8.602889376475078e-05
3,0.6470633185614235,8.588065673303629e-05
4,0.8205644711940434,8.570151033519432e-05
5,0.9814306859537844,8.549765511170642e-05
6,1.1312126982596489,8.527336922068668e-05
7,1.270115011231819,8.503931254676313e-05
8,1.3974522486177308,8.480110607628056e-05
9,1.5112295157282718,8.456977870765811e-05
10,1.6073534101341667,8.436246446756119e-05
11,1.6791088809595816,8.419673278261743e-05
12,1.7181475115280163,8.410315183146264e-05
13,0.24106019525944708,8.613101938491145e-05
14,0.39506217143772876,8.606246314618514e-05
15,0.5668876612520056,8.594746232082852e-05
16,0.7283763636209423,8.580065317325342e-05
17,0.8790203651464803,8.563025204021498e-05
18,1.0209327214446668,8.544116022538165e-05
19,1.1557909214776618,8.523501603425741e-05
20,1.2844010134125015,8.501343567442913e-05
21,1.406093830131801,8.478296898865235e-05
22,1.5178855724821947,8.455581481950318e-05
23,1.6137508579309185,8.434710794254195e-05
24,1.684780983286291,8.418423578448436e-05
25,1.698601605431682,8.415081575796904e-05
26,1.6468846411669649,8.427200883867538e-05
27,1.5634394165925922,8.4457920861164e-05
28,1.4597391701180096,8.467595188298865e-05
29,1.3448172455370317,8.490097303934138e-05
30,1.223449121294599,8.512073655578533e-05
31,1.0967225432816674,8.53266344760406e-05
32,0.9634953233167423,8.55201651962245e-05
33,0.8216365514639508,8.569729570849266e-05
34,0.6687174752269179,8.585768529744073e-05
35,0.5033989310144655,8.59929431483327e-05
36,0.3368069527699375,8.609111711632785e-05
37,0.42955167356213364,8.604043829877422e-05
38,0.5306385726345257,8.597286327970965e-05
39,0.6543087257513054,8.587102939790453e-05
40,0.782165431661609,8.574227997617048e-05
41,0.9099689685209187,8.559086979288383e-05
42,1.0376007070093025,8.541719218871976e-05
43,1.1653384598785193,8.521891357570553e-05
44,1.2922974031534356,8.499929703808409e-05
45,1.4155113580427452,8.476468279080234e-05
46,1.5293460589201353,8.453190765783541e-05
47,1.6254101909632088,8.43209676555849e-05
48,1.6538881637194065,8.425622783833032e-05
49,1.5877214691727803,8.440515815185429e-05
50,1.4899037856329191,8.461343940333162e-05
51,1.377269226663071,8.483804495787183e-05
52,1.2619537902120592,8.50514301450667e-05
53,1.149711061640272,8.524092635970072e-05
54,1.0409339047388155,8.540778776283512e-05
55,0.9330039919881747,8.555608492864706e-05
56,0.8227219603237225,8.569215476748028e-05
57,0.7087813636359321,8.581444337915972e-05
58,0.5959897718950037,8.591849686960992e-05
59,0.5474969231082837,8.595890396595253e-05
60,0.6087945346175143,8.590980488381519e-05
61,0.698296493338581,8.58286697613703e-05
62,0.8046608170576902,8.571705167746472e-05
63,0.922187946514815,8.557511870979e-05
64,1.0475939714015292,8.540185995292135e-05
65,1.177683727638069,8.519820323726905e-05
66,1.3082138948866533,8.497001699667891e-05
67,1.4334141892502645,8.472962324057404e-05
68,1.5458484378777508,8.449741552832341e-05
69,1.5895049815876052,8.440270445205478e-05
70,1.5127119230654162,8.456740302965498e-05
71,1.4040903356644938,8.478658703899463e-05
72,1.2865455016523444,8.500617014637956e-05
