Mode_Index,Frequency_THz,Cv_QPA_eV_K
0,0.0,0.0
1,0.24572969004045808,8.61586502699988e-05
2,0.4676603632304767,8.611935833463732e-05
3,0.6629246646984094,8.606343371337482e-05
4,0.8391656042636747,8.599722018767296e-05
5,1.0021060564305326,8.592171440771008e-05
6,1.154097879894463,8.583888582983921e-05
7,1.295584895084701,8.57513148958909e-05
8,1.425769045958834,8.56618652596261e-05
9,1.5423979106467258,8.557467930442588e-05
10,1.641096527619137,8.549719689235546e-05
11,1.7148656076859574,8.543289690216532e-05
12,1.7550417998016907,8.539694523441795e-05
13,0.24276694883676814,8.615792888768215e-05
14,0.40031124915668664,8.613285121441937e-05
15,0.5767627597834942,8.60901181704021e-05
16,0.7417698672159803,8.603556588667523e-05
17,0.8951397003321337,8.597252844348259e-05
18,1.0397227553570991,8.590222160846874e-05
19,1.1775581763513514,8.582520814777011e-05
20,1.3094263741670742,8.574151567881365e-05
21,1.4344263465700131,8.565581967029734e-05
22,1.549298271034069,8.556975047851497e-05
23,1.6477709575380002,8.549037059176165e-05
24,1.720693404927296,8.542789609086901e-05
25,1.7350513500760594,8.541450548366562e-05
26,1.6818725954055262,8.546111729068763e-05
27,1.5959180988251245,8.553276329630941e-05
28,1.4890050360777296,8.56152835291779e-05
29,1.3704693191462294,8.570070393777841e-05
30,1.245388403404023,8.578318192095444e-05
31,1.1151379738862341,8.586045363166505e-05
32,0.9787437881185876,8.593288275310997e-05
33,0.8339687984392962,8.599843837219222e-05
34,0.6779191018181211,8.60577821426209e-05
35,0.5088236610412965,8.610768426418486e-05
36,0.3391905495075487,8.61434536024907e-05
37,0.4327191932240571,8.612513302374441e-05
38,0.5357376474562393,8.6100619197304e-05
39,0.662541266170079,8.606310137227027e-05
40,0.7935134297730965,8.60152770677797e-05
41,0.924431831950422,8.59591327816984e-05
42,1.0553902079607194,8.589405359246823e-05
43,1.1866856015658314,8.581972809330118e-05
44,1.3172650778805746,8.573663372520729e-05
45,1.4439263288372548,8.564947334119448e-05
46,1.5608239411296576,8.556200928765451e-05
47,1.6593887479470446,8.548116596299621e-05
48,1.6891568147564504,8.545575708947877e-05
49,1.6209295989348582,8.551221595011616e-05
50,1.5198373813817327,8.55926393400917e-05
51,1.4031714129019575,8.567689832794596e-05
52,1.28338392722332,8.575783473060422e-05
53,1.1665366218985693,8.583070621438883e-05
54,1.0533724353851575,8.589351414733872e-05
55,0.9415916693145691,8.594907182439548e-05
56,0.8282118179856611,8.599927018967918e-05
57,0.712129803316035,8.604414464999822e-05
58,0.5987656723574761,8.608148442396579e-05
59,0.5507428577740489,8.609599335535875e-05
60,0.6130164306309406,8.607837098051096e-05
61,0.7050581917324599,8.604839442651669e-05
62,0.8146258510235761,8.600649808165471e-05
63,0.9356881978766639,8.595406656651994e-05
64,1.064835523051488,8.588923916266284e-05
65,1.1987389683372143,8.581208528173604e-05
66,1.3329845512322742,8.572696300846423e-05
67,1.461632579816814,8.563651978584221e-05
68,1.5771015995146702,8.554873873396783e-05
69,1.6229110684270556,8.551173129143918e-05
70,1.5432330394458087,8.55746649911752e-05
71,1.430558652588072,8.565791473904388e-05
72,1.3082922350876718,8.574208633992006e-05
73,1.1908711734874409,8.581552606984179e-05
74,1.0853181876090563,8.587578786856459e-05
75,0.9926851030277479,8.592337910268358e-05
76,0.9105237847215514,8.596180244717731e-05
77,0.8358253933715944,8.599444508424666e-05
78,0.7680780067851123,8.602219767960853e-05
79,0.6054809902953041,8.60804558469756e-05
80,0.6441174611507166,8.606874059573616e-05
81,0.7222214141630916,8.604219055666063e-05
82,0.8285084734094428,8.600084109630713e-05
83,0.9527376695638338,8.594545546945149e-05
84,1.086752043298416,8.587703159262145e-05
85,1.2236476007184949,8.579754026008188e-05
86,1.3569688495829535,8.571065692794115e-05
87,1.4802228391024235,8.562347369763196e-05
88,1.5440304669853522,8.557585356023434e-05
89,1.4587110544912718,8.563818893994249e-05
90,1.342258409498625,8.571944612646662e-05
91,1.2214486377205054,8.579725160415734e-05
92,1.110906546560731,8.586124320642453e-05
93,1.018453825591921,8.590990368315014e-05
94,0.9465276747773654,8.594444350369545e-05
95,0.8938401360823462,8.596823049078633e-05
96,0.8576188445122973,8.598424092111067e-05
97,0.6279000164919436,8.607392673943804e-05
98,0.6649896263962882,8.606204216328483e-05
99,0.7479393093229489,8.603255782824973e-05
100,0.8607590827888056,8.598697773890874e-05
101,0.9888273969734154,8.592770813401024e-05
102,1.1216917599018952,8.585760404424937e-05
103,1.2520502802950593,8.577985598017115e-05
104,1.3744043028831803,8.569894826326326e-05
105,1.4587427559277664,8.56400908047164e-05
106,1.3849103765978248,8.569109026682917e-05
107,1.264329498434916,8.577055986086676e-05
108,1.1535221661723374,8.583687389664854e-05
109,1.0551576894325247,8.58904023911289e-05
110,0.9772115778574961,8.592909153928907e-05
111,0.924131846846076,8.595375489050087e-05
112,0.8970021693550715,8.596611331656231e-05
113,0.6598076710013397,8.606356621572733e-05
114,0.7093506404955392,8.60462836651588e-05
115,0.7994367110676133,8.601199364333443e-05
116,0.9113579445853407,8.596383356738092e-05
117,1.0311189892166626,8.59061829742817e-05
118,1.1502691274665324,8.584120945284157e-05
119,1.2639516284718437,8.577216425988192e-05
120,1.3692994357764676,8.57021987385345e-05
