Mode_Index,Frequency_THz,Cv_QPA_eV_K
0,0.0,0.0
1,0.2482090673369066,8.616302040661575e-05
2,0.472834966621984,8.61351876578037e-05
3,0.6702181150360329,8.609553224599735e-05
4,0.8478044850775155,8.604893738922124e-05
5,1.0117545854864443,8.599604462459081e-05
6,1.1647919934236661,8.593813563152232e-05
7,1.3074871681108597,8.587565908230264e-05
8,1.4389981374046996,8.581320830206914e-05
9,1.5569543961757282,8.575219085996656e-05
10,1.6568498048441296,8.569495272498526e-05
11,1.7315538310748466,8.56500709476346e-05
12,1.772258217066417,8.562426784228517e-05
13,0.24355073679768866,8.616257938688663e-05
14,0.4027075295883326,8.614502627558549e-05
15,0.5813042508592697,8.611484788807474e-05
16,0.7479915543203428,8.607634929715341e-05
17,0.9026686288432736,8.603204740804387e-05
18,1.048511354180836,8.598274954068617e-05
19,1.18773635364097,8.59282782524552e-05
20,1.3211213338742207,8.586867690100533e-05
21,1.4476603461951691,8.580883033704447e-05
22,1.5639646950681816,8.574798828779503e-05
23,1.6636489485763994,8.56911642268634e-05
24,1.737451241096744,8.564645462793374e-05
25,1.7520571942102288,8.563773510514512e-05
26,1.6981943056506175,8.566985716383489e-05
27,1.6110696414497256,8.572185396923066e-05
28,1.5026594403019637,8.578048024260344e-05
29,1.382438955934446,8.584025620136866e-05
30,1.2556264253395681,8.589855712315869e-05
31,1.1237313790398753,8.595390755579504e-05
32,0.9858536761476665,8.600467894159664e-05
33,0.839698802766697,8.60507994603694e-05
34,0.6821571929610916,8.609238615399615e-05
35,0.51129101243109,8.612751193582145e-05
36,0.3402725766430896,8.615248460074983e-05
37,0.43415746418984796,8.613972352334586e-05
38,0.5380829741145445,8.612265266029849e-05
39,0.6663704629586105,8.609628304058095e-05
40,0.7988197723955085,8.60625930587541e-05
41,0.9312025283281636,8.60229825882091e-05
42,1.0637131974068916,8.59772864556205e-05
43,1.1966646072667064,8.59244772683568e-05
44,1.3289291521386197,8.586641218698598e-05
45,1.4571946105963078,8.580430990457175e-05
46,1.5755166414857196,8.574198158931123e-05
47,1.6752443633919945,8.568501414500973e-05
48,1.7056047189559194,8.566652457302825e-05
49,1.6364042022206944,8.570722808243038e-05
50,1.5337801783417233,8.576437887181447e-05
51,1.415236768178584,8.582428845067968e-05
52,1.2933680553260385,8.588213880354134e-05
53,1.1743763399065221,8.593282413464572e-05
54,1.0591677820476844,8.597778542347503e-05
55,0.9455919934767865,8.601686525313518e-05
56,0.8307668669321973,8.605224962676145e-05
57,0.7136820203084028,8.60835815615959e-05
58,0.6000388526965724,8.61095353976718e-05
59,0.5522369932389495,8.611957343977625e-05
60,0.6149802458610756,8.610726557519921e-05
61,0.7082218549109573,8.6086107097408e-05
62,0.819292669773374,8.605656948863257e-05
63,0.9420059375356616,8.601954474502577e-05
64,1.072896719486698,8.597393908848024e-05
65,1.208576759199338,8.5919351459254e-05
66,1.3445530645653034,8.585921293474174e-05
67,1.4748062784988214,8.579561076324995e-05
68,1.5916873275362966,8.573338812428575e-05
69,1.638480566256161,8.570761833270521e-05
70,1.557431041038737,8.575134858154881e-05
71,1.4428602133763047,8.581074955558335e-05
72,1.3184008136023664,8.58705596136382e-05
