Mode_Index,Frequency_THz,Cv_QPA_eV_K
0,0.0,0.0
1,0.2347182861716365,8.581937212440804e-05
2,0.44434062016439624,8.491649199056896e-05
3,0.6307010075720396,8.366018410489846e-05
4,0.8016912855083532,8.214712992836391e-05
5,0.9606005837681223,8.045365434540675e-05
6,1.108193041679613,7.864907777692371e-05
7,1.2444900730629536,7.6806372575708e-05
8,1.3689486036917478,7.498521892000538e-05
9,1.4798390285219454,7.326654097321448e-05
10,1.5733515597103251,7.175638602763073e-05
11,1.6430616805465688,7.059095899766038e-05
12,1.6809447284534982,6.99471278277468e-05
13,0.2392756970389047,8.57970872536782e-05
14,0.3895463528989378,8.519113764576308e-05
15,0.5566904095607674,8.419489730902724e-05
16,0.7147907011222634,8.294403172888728e-05
17,0.8628060574316357,8.15161523430289e-05
18,1.0020619580972105,7.996003491966848e-05
19,1.1339121445071785,7.830931004831169e-05
20,1.2592213294997543,7.65962921160211e-05
21,1.3775640876148696,7.485286268289591e-05
22,1.4862339398663693,7.316331245954702e-05
23,1.5794542344088074,7.165194322996501e-05
24,1.6485669884929177,7.049658599701789e-05
25,1.6618371127887468,7.027057779873802e-05
26,1.611588297169823,7.11212933985627e-05
27,1.5306768396613057,7.24496826242367e-05
28,1.430224631403371,7.404142159997504e-05
29,1.3189542967211956,7.572202701393364e-05
30,1.2013368119789334,7.739732155728162e-05
31,1.0781686478766106,7.902233793995243e-05
32,0.9481240918030639,8.057626428414404e-05
33,0.8091477402696773,8.205097252745695e-05
34,0.6592689982048948,8.34060990403115e-05
35,0.4976946849596745,8.45753356646668e-05
36,0.33426955649391443,8.54422166633033e-05
37,0.42620032166488203,8.499138951357362e-05
38,0.5253762172552855,8.43934901878684e-05
39,0.6459770267100275,8.351194681888396e-05
40,0.7707741298774302,8.24232494254351e-05
41,0.8954668710106191,8.116297055283197e-05
42,1.0197369072783373,7.974684838358083e-05
43,1.1438689832667348,7.817818619811211e-05
44,1.2671605577034806,7.648157299361889e-05
45,1.3868839158766728,7.471087427125527e-05
46,1.4976158572384834,7.297956571276959e-05
47,1.591147773021467,7.145727061538766e-05
48,1.6182942731899561,7.100535281268074e-05
49,1.5541711642408023,7.206578126553387e-05
50,1.4596455500875247,7.357885984357395e-05
51,1.3510894718161086,7.524365861778887e-05
52,1.2403030315045995,7.684804683521432e-05
53,1.1327197049031072,7.830730237060716e-05
