Mode_Index,Frequency_THz,Cv_QPA_eV_K
0,0.0,0.0
1,0.237475594153657,8.608425029726181e-05
2,0.450230078646182,8.585367165832478e-05
3,0.6387095284957344,8.552826482643179e-05
4,0.810884542459409,8.513212230015633e-05
5,0.9707285448084064,8.468288991716441e-05
6,1.1193830890143082,8.4194118630804e-05
7,1.2569499884040694,8.368058528270275e-05
8,1.3828128013464727,8.316275051522305e-05
9,1.4951119030765678,8.266463530617202e-05
10,1.58989938695349,8.221688484242374e-05
11,1.6606086467126024,8.186501951401198e-05
12,1.699056287230854,8.166722674380815e-05
13,0.2401481697946797,8.60786683458532e-05
14,0.39225754573619737,8.592556830836781e-05
15,0.5616794333548263,8.567055782532537e-05
16,0.7214050023036264,8.534612376725983e-05
17,0.8706843970921637,8.497020344668056e-05
18,1.011230574361667,8.455348752723668e-05
19,1.144548172689196,8.410248070146342e-05
20,1.2714685038608335,8.362176987040039e-05
21,1.3914459627682785,8.312481161976427e-05
22,1.5016391151505355,8.263384313099267e-05
23,1.5961500735208785,8.21846041861013e-05
24,1.6661978579618508,8.18360388481931e-05
25,1.679737791266506,8.176799664518681e-05
26,1.6287751020658374,8.202438283940991e-05
27,1.5466290349412175,8.24238074916545e-05
28,1.4445932364319125,8.289131277942012e-05
29,1.3315423652140383,8.337631718991307e-05
30,1.2120957026840598,8.385039308665613e-05
31,1.0871918231019564,8.430033417016428e-05
32,0.9555965834939186,8.472265047499824e-05
33,0.8152227524066556,8.511471420298519e-05
34,0.6638796613611919,8.546919227742443e-05
35,0.500494312559373,8.576965389822955e-05
36,0.3355167963279912,8.598930355309215e-05
37,0.42784415922418456,8.587554528299894e-05
38,0.5279437364690777,8.572411061675279e-05
39,0.6500265184496594,8.549766659825523e-05
40,0.7763038980286733,8.521337715494314e-05
41,0.9025099114171202,8.487984395424416e-05
42,1.0284204506297732,8.449862404032643e-05
43,1.1543127728084848,8.40665842547928e-05
44,1.279393653536604,8.359032062523656e-05
45,1.4008192059754625,8.308549655193299e-05
46,1.5130638151220572,8.258169708226244e-05
47,1.6078296001323484,8.212873031721885e-05
48,1.6356302094507467,8.19909305015283e-05
49,1.5705178775682984,8.230940961775501e-05
50,1.474391501141066,8.275703996804173e-05
51,1.3638478486713002,8.323961169159197e-05
52,1.2508524324468668,8.369840201318568e-05
53,1.1409957294762774,8.41093667405061e-05
54,1.0344897556296473,8.447038134349996e-05
55,0.928552488390463,8.479529683026703e-05
56,0.819871152950664,8.509423744257844e-05
57,0.7070303536844306,8.536665945427388e-05
58,0.5945145715711474,8.560026296784004e-05
59,0.5457821711992976,8.56912980760785e-05
60,0.6065972266717778,8.558093967970092e-05
61,0.6948071596760916,8.54008114708257e-05
62,0.7995266620991951,8.5154438395505e-05
63,0.9152272496927708,8.484301447587562e-05
64,1.0386950513050441,8.446392851347457e-05
65,1.166808056675139,8.402012626824433e-05
66,1.29541210422355,8.352513401609371e-05
67,1.4188239012803634,8.300498288873047e-05
68,1.5296827201670322,8.2502862012478e-05
69,1.5722042704537498,8.230331179003697e-05
70,1.4968787561068795,8.265426949551047e-05
71,1.3903508976597994,8.312622679055213e-05
72,1.275262693883012,8.36014397904627e-05
73,1.1655943665439112,8.401789032156791e-05
74,1.0678475967171137,8.43573601792028e-05
75,0.9823494529036311,8.462914217147318e-05
76,0.9058394078392767,8.485391174322963e-05
77,0.8345079889667711,8.504878512115291e-05
78,0.766975864056314,8.522171148246775e-05
79,0.6017772812906677,8.558921795847676e-05
80,0.6393785156088786,8.55161366699059e-05
81,0.7137601585417984,8.535849708399317e-05
82,0.8149415198926342,8.511459641670053e-05
83,0.9334653759611553,8.478892204953361e-05
84,1.061540786228058,8.438873554275224e-05
