T,a,gamma_mean,omega_mean,n_modes
T50,0.004097634448796523,0.0076277045471647535,2.0291495098719485,2727
T100,0.007232453552830938,0.013926129225166197,2.043458140373674,2727
T150,0.009975905947139029,0.019485911170738793,2.0586794787184863,2727
T200,0.012350874221290949,0.024386116294219468,2.0736517762051387,2727
T250,0.01444416371070058,0.02878421276126863,2.0881817637911055,2727
T300,0.016318581859878712,0.03279534162345486,2.1019852173106783,2727
