Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.24308986991911816,8.614819900747013e-05
2,0.46211986262480126,8.608254781398368e-05
3,0.6551610127264932,8.599097993270167e-05
4,0.830027389139828,8.588088740992903e-05
5,0.9919315128074199,8.575605974652446e-05
6,1.1428304829391152,8.562000597633704e-05
7,1.2830442799113806,8.547662521024403e-05
8,1.411827132945397,8.533066000148672e-05
9,1.5270527945493495,8.5188540361794e-05
10,1.6244849898564777,8.505993093727457e-05
11,1.6972639495152797,8.495884819325447e-05
12,1.7368807549778795,8.490202954206939e-05
13,0.24193540691263773,8.614843711105138e-05
14,0.3977527408183075,8.610606454206319e-05
15,0.5719312513183035,8.603432299026173e-05
16,0.7351905976291413,8.594379019787171e-05
17,0.8872050347823157,8.583931190311209e-05
18,1.03046838561353,8.572311771867437e-05
19,1.1668379289438728,8.559661452849612e-05
20,1.2971031643277076,8.546135410728455e-05
21,1.420476140469957,8.532036906200482e-05
22,1.5338330750786093,8.517984013649861e-05
23,1.6310237019891685,8.50510242959635e-05
24,1.7030155767924038,8.49506775566757e-05
25,1.717109748087783,8.493054307820071e-05
26,1.664651220464323,8.50046728633332e-05
27,1.5799318144662617,8.511969674440446e-05
28,1.4745998955996067,8.5254580385743e-05
29,1.357843086093808,8.53935061406638e-05
30,1.2345901444504832,8.552800750045285e-05
31,1.1060750312518777,8.565489125320248e-05
32,0.9712423066731586,8.577323371559331e-05
33,0.8279103503530202,8.588237409075008e-05
34,0.6734143908130743,8.598069218001715e-05
35,0.5061829218001602,8.606442183024097e-05
36,0.3380339375910267,8.612474032473548e-05
37,0.4311807426568019,8.609428992351978e-05
38,0.5332453868854574,8.605247587972108e-05
39,0.6584968255308761,8.598912083543247e-05
40,0.7879254962197313,8.59097460742827e-05
41,0.9173058878932193,8.581632328508652e-05
42,1.0466262162418887,8.57089371220893e-05
43,1.1761713574730281,8.558739154004631e-05
44,1.3049697623323089,8.545273813288302e-05
45,1.429935335304158,8.530904399139015e-05
46,1.545326788294019,8.51650063441012e-05
47,1.6426620552168605,8.50350856664161e-05
48,1.6717978551415924,8.499470441209913e-05
49,1.6045884845191052,8.508681986444053e-05
50,1.5051090229972908,8.52164412272146e-05
51,1.3904260472816736,8.535586036270125e-05
52,1.272838343612363,8.548760903133286e-05
53,1.1582570844574953,8.560503010759387e-05
54,1.047252735086638,8.570838288771477e-05
