Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.2482090673369066,8.61614462974139e-05
2,0.472834966621984,8.613020839370854e-05
3,0.6702181150360329,8.608672056738523e-05
4,0.8478044850775155,8.603479212755177e-05
5,1.0117545854864443,8.59761207714539e-05
6,1.1647919934236661,8.591208094024812e-05
7,1.3074871681108597,8.584432604265984e-05
8,1.4389981374046996,8.577503062606672e-05
9,1.5569543961757282,8.57073050704147e-05
10,1.6568498048441296,8.564584122788345e-05
11,1.7315538310748466,8.559742198685586e-05
12,1.772258217066417,8.557015721554441e-05
13,0.24355073679768866,8.616188820502391e-05
14,0.4027075295883326,8.614204830541903e-05
15,0.5813042508592697,8.610816542720356e-05
16,0.7479915543203428,8.60654714906379e-05
17,0.9026686288432736,8.601630429142082e-05
18,1.048511354180836,8.596155563821195e-05
19,1.18773635364097,8.590170945487246e-05
20,1.3211213338742207,8.583744691788098e-05
21,1.4476603461951691,8.577023620732432e-05
22,1.5639646950681816,8.570311453274427e-05
23,1.6636489485763994,8.564152119280388e-05
24,1.737451241096744,8.559351028243927e-05
25,1.7520571942102288,8.558376605989928e-05
26,1.6981943056506175,8.561930313591999e-05
27,1.6110696414497256,8.567447582999764e-05
28,1.5026594403019637,8.57391323850469e-05
29,1.382438955934446,8.580563661757503e-05
30,1.2556264253395681,8.586984694838171e-05
31,1.1237313790398753,8.593014054176785e-05
32,0.9858536761476665,8.598607397930414e-05
33,0.839698802766697,8.603742572008728e-05
34,0.6821571929610916,8.608360957723577e-05
35,0.51129101243109,8.612291160528837e-05
36,0.3402725766430896,8.615099603315395e-05
37,0.43415746418984796,8.613697276671743e-05
38,0.5380829741145445,8.611749150802741e-05
39,0.6663704629586105,8.608771148661431e-05
40,0.7988197723955085,8.605032363626529e-05
41,0.9312025283281636,8.600623325434533e-05
42,1.0637131974068916,8.5955380890142e-05
43,1.1966646072667064,8.589761942484747e-05
44,1.3289291521386197,8.583347568413321e-05
45,1.4571946105963078,8.576492627486901e-05
46,1.5755166414857196,8.569616867823345e-05
47,1.6752443633919945,8.563411357722712e-05
48,1.7056047189559194,8.561447863115122e-05
49,1.6364042022206944,8.565872709772826e-05
50,1.5337801783417233,8.572102584926934e-05
51,1.415236768178584,8.578803633280707e-05
52,1.2933680553260385,8.585137540643062e-05
53,1.1743763399065221,8.590777294853954e-05
54,1.0591677820476844,8.59572364174664e-05
55,0.9455919934767865,8.600103624660718e-05
56,0.8307668669321973,8.604029859284599e-05
57,0.7136820203084028,8.607513186028158e-05
58,0.6000388526965724,8.610389968294056e-05
59,0.5522369932389495,8.611451657674314e-05
60,0.6149802458610756,8.610040086196537e-05
61,0.7082218549109573,8.607662755465061e-05
62,0.819292669773374,8.604394426406844e-05
63,0.9420059375356616,8.600233882901403e-05
64,1.072896719486698,8.595160791976899e-05
65,1.208576759199338,8.589211519236104e-05
66,1.3445530645653034,8.582545949950575e-05
67,1.4748062784988214,8.575502730678304e-05
68,1.5916873275362966,8.568636114517203e-05
69,1.638480566256161,8.565742564693981e-05
70,1.557431041038737,8.570702073474686e-05
71,1.4428602133763047,8.577289652761922e-05
72,1.3184008136023664,8.583882519699818e-05
73,1.198612633689867,8.589672299920939e-05
74,1.090668134388692,8.594421522775091e-05
75,0.9958417177112807,8.598226616287094e-05
76,0.9119421396743834,8.601306540809033e-05
77,0.8362140873031914,8.603855018527685e-05
78,0.768410079595,8.605950248048819e-05
79,0.6066092930037884,8.610237166152932e-05
80,0.6455694577979546,8.609297001807124e-05
81,0.7248276742365114,8.607204320506629e-05
82,0.8326918265519907,8.603968203388008e-05
83,0.9586788686809988,8.599624087278309e-05
84,1.0945207419144225,8.594259668707448e-05
85,1.2332477724548074,8.588054365855583e-05
86,1.3683436282192503,8.581307527423726e-05
87,1.4932532768497309,8.574453299619924e-05
88,1.558420455753738,8.570643023979508e-05
89,1.4712622937345086,8.575702870278132e-05
90,1.3525860143403685,8.582130195046466e-05
91,1.2293553201707639,8.5882384743958e-05
92,1.1163085627898586,8.593333667248979e-05
93,1.021458464811845,8.597232570858454e-05
94,0.9475344187600347,8.600032863375483e-05
95,0.8935735127188613,8.601944887123202e-05
96,0.8570834031978168,8.603174642077892e-05
97,0.6285320914357563,8.609715318503403e-05
98,0.6659193780611523,8.608782728580506e-05
99,0.7500313399343937,8.606488292305527e-05
100,0.8644717735435005,8.602929766370292e-05
101,0.9943633712125094,8.598283216979005e-05
102,1.1291378775496652,8.592779937042041e-05
103,1.2614297609436183,8.58670419166944e-05
104,1.3856797750420304,8.58039156556858e-05
105,1.4716811623292312,8.575679240258398e-05
106,1.3957478000814503,8.579854385937913e-05
107,1.2724901683011078,8.586166041859286e-05
108,1.1591537073843352,8.591459889140362e-05
109,1.058345155506001,8.595757138631142e-05
110,0.9782882126644101,8.598893282010351e-05
111,0.9237577824368479,8.600889093852338e-05
112,0.8961295705485816,8.601856833160415e-05
113,0.6599441856763119,8.608935381423566e-05
114,0.7098128711728169,8.607619291239035e-05
115,0.8010907436151056,8.604962392844835e-05
116,0.9146909877754038,8.601209901167225e-05
117,1.036376827619463,8.59664211247678e-05
118,1.157579433904179,8.591529976777409e-05
119,1.273367670034775,8.586123147375544e-05
120,1.3807928252707236,8.580650923169747e-05
121,1.3155112703034835,8.584028602837674e-05
122,1.207055921354705,8.589282093324948e-05
123,1.1122351327143913,8.593508168433689e-05
124,1.0296731287882555,8.596908492555436e-05
125,0.9667706225469727,8.59932430503229e-05
126,0.9300495309795541,8.600664624924357e-05
127,0.720610888210843,8.607321736082593e-05
128,0.7761011359044138,8.605721454403418e-05
129,0.8601122696197977,8.603074508216333e-05
130,0.957535778568442,8.599666234353315e-05
131,1.0589188177209101,8.595733782160078e-05
132,1.1595130717655542,8.591443876769029e-05
133,1.2573666964704395,8.586900713631387e-05
134,1.2400256180725926,8.587732405269609e-05
135,1.1561144365262594,8.591595114503795e-05
136,1.086564688964197,8.594593291785762e-05
137,1.0277455946781024,8.5969847676775e-05
138,0.9854230878603994,8.59862372777928e-05
139,0.7892533988029109,8.605324940286077e-05
140,0.8322533059823599,8.603982261572454e-05
141,0.8943016317820969,8.601919829551043e-05
142,0.9673113713604952,8.599304182129748e-05
143,1.047018391528711,8.59621572950549e-05
144,1.1318544786310463,8.592661879416726e-05
145,1.1696641810965365,8.590989535440407e-05
146,1.1271475771862953,8.592866252531103e-05
147,1.0766067857763815,8.595007453707363e-05
148,1.0455553995030744,8.596274604773879e-05
149,0.8295234630505588,8.6040696096115e-05
150,0.8484831830295124,8.603457047096656e-05
151,0.8859524775815902,8.602205939407046e-05
152,0.9400225811024588,8.600305714005375e-05
153,1.0096805161469473,8.59769272438671e-05
154,1.0940562128806115,8.59427921433806e-05
155,1.0922947563169552,8.594353254953466e-05
156,1.0776288974420458,8.594965117144343e-05
157,0.8227919428212144,8.604283779916687e-05
158,0.8207865712805084,8.604347246915872e-05
159,0.8456151054352692,8.6035505955348e-05
160,0.8982475526467371,8.601783680902875e-05
