Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.237475594153657,8.607919561400385e-05
2,0.450230078646182,8.583554311659199e-05
3,0.6387095284957344,8.549517079901048e-05
4,0.810884542459409,8.508348789338171e-05
5,0.9707285448084064,8.461668672092123e-05
6,1.1193830890143082,8.411092222308531e-05
7,1.2569499884040694,8.358279726821999e-05
8,1.3828128013464727,8.305014808919242e-05
9,1.4951119030765678,8.253594382759229e-05
10,1.58989938695349,8.207409388640184e-05
11,1.6606086467126024,8.171325820650473e-05
12,1.699056287230854,8.151126876378714e-05
13,0.2401481697946797,8.607706628628412e-05
14,0.39225754573619737,8.591678654913013e-05
15,0.5616794333548263,8.56483115831689e-05
16,0.7214050023036264,8.530934958320327e-05
17,0.8706843970921637,8.49183002608241e-05
18,1.011230574361667,8.448565195769162e-05
19,1.144548172689196,8.401860798095224e-05
20,1.2714685038608335,8.352374292275571e-05
21,1.3914459627682785,8.301191104208049e-05
22,1.5016391151505355,8.250494882378965e-05
23,1.5961500735208785,8.204275206562914e-05
24,1.6661978579618508,8.168415086806678e-05
25,1.679737791266506,8.161324080335345e-05
26,1.6287751020658374,8.187741083218121e-05
27,1.5466290349412175,8.22880733345279e-05
28,1.4445932364319125,8.277176581888686e-05
29,1.3315423652140383,8.327275063617858e-05
30,1.2120957026840598,8.376124228299881e-05
31,1.0871918231019564,8.422623984685961e-05
32,0.9555965834939186,8.46643076168138e-05
33,0.8152227524066556,8.507188676196731e-05
34,0.6638796613611919,8.544095846048057e-05
35,0.500494312559373,8.575614570764878e-05
36,0.3355167963279912,8.598554473873772e-05
37,0.42784415922418456,8.586823105728309e-05
38,0.5279437364690777,8.570928931558469e-05
39,0.6500265184496594,8.547105389089084e-05
40,0.7763038980286733,8.517381516492423e-05
41,0.9025099114171202,8.482575417802091e-05
42,1.0284204506297732,8.442852193668715e-05
43,1.1543127728084848,8.398226093141212e-05
44,1.279393653536604,8.349121556453716e-05
45,1.4008192059754625,8.29701511384727e-05
46,1.5130638151220572,8.245044405189969e-05
47,1.6078296001323484,8.198385787870501e-05
48,1.6356302094507467,8.184229660653318e-05
49,1.5705178775682984,8.217058494857235e-05
50,1.474391501141066,8.263356938058206e-05
51,1.3638478486713002,8.313335337458878e-05
52,1.2508524324468668,8.360738587903919e-05
53,1.1409957294762774,8.403173749833812e-05
54,1.0344897556296473,8.440812593610506e-05
55,0.928552488390463,8.474767459761642e-05
56,0.819871152950664,8.505938958548722e-05
57,0.7070303536844306,8.534322853467243e-05
58,0.5945145715711474,8.558540239692257e-05
59,0.5457821711992976,8.567751282198785e-05
60,0.6065972266717778,8.556136651936574e-05
61,0.6948071596760916,8.537152899424837e-05
62,0.7995266620991951,8.511357665006508e-05
63,0.9152272496927708,8.478789944587599e-05
64,1.0386950513050441,8.439392712678359e-05
65,1.166808056675139,8.393532734415887e-05
66,1.29541210422355,8.342495614956963e-05
67,1.4188239012803634,8.288922251184442e-05
68,1.5296827201670322,8.237044723227133e-05
69,1.5722042704537498,8.216219121268836e-05
70,1.4968787561068795,8.252760194959881e-05
71,1.3903508976597994,8.301674147907342e-05
72,1.275262693883012,8.350820664615577e-05
73,1.1655943665439112,8.393990684180821e-05
74,1.0678475967171137,8.42939753318269e-05
75,0.9823494529036311,8.457961774078853e-05
76,0.9058394078392767,8.481590310602375e-05
77,0.8345079889667711,8.501957731275116e-05
78,0.766975864056314,8.519752597322242e-05
79,0.6017772812906677,8.557100539332012e-05
80,0.6393785156088786,8.54937634582042e-05
81,0.7137601585417984,8.532744597883708e-05
82,0.8149415198926342,8.507264064463698e-05
83,0.9334653759611553,8.473270332081802e-05
84,1.061540786228058,8.431581690321038e-05
85,1.192479455036682,8.383739642021118e-05
86,1.3200223661273822,8.332170748697194e-05
87,1.4378774664940466,8.280256040082976e-05
88,1.497122447948699,8.252640947153436e-05
89,1.4176092496941244,8.2894711676097e-05
90,1.308372725949436,8.337081782528957e-05
91,1.1955092082700058,8.382573395294747e-05
92,1.0931817508472028,8.420502659885284e-05
93,1.0085445311885148,8.449451632244292e-05
94,0.9430938696379011,8.470312699125106e-05
95,0.8945354514019515,8.484925403229245e-05
96,0.8592300346181234,8.495080711062175e-05
97,0.6257621494160434,8.552226084170618e-05
98,0.6618703924342394,8.544536206262392e-05
99,0.7410735231188229,8.526190428640602e-05
100,0.8486658914717874,8.498043109871872e-05
101,0.9708400361882961,8.461633308223942e-05
102,1.0975153912968783,8.41896104852199e-05
103,1.221595473593537,8.372394648397285e-05
104,1.337778078006916,8.324605830742445e-05
105,1.4165251142330524,8.289957463246528e-05
106,1.349284702985394,8.319658809829243e-05
107,1.237408433603879,8.366126517162316e-05
108,1.1349060575774907,8.405421466696178e-05
109,1.04454760668933,8.437407550048247e-05
110,0.9734644286252275,8.460799758266482e-05
111,0.9250757642558048,8.475820885611235e-05
112,0.8995836297461037,8.483440978657252e-05
113,0.6591728577967312,8.54512535410831e-05
114,0.7076501456863551,8.534178987528356e-05
115,0.793919480824477,8.512827915583003e-05
116,0.9004529716058383,8.483184536250931e-05
117,1.0140140200416816,8.447647808202354e-05
118,1.1265259916673172,8.408493089746357e-05
119,1.2333711678286656,8.367736516545013e-05
120,1.3319498862204733,8.327101163681058e-05
121,1.277268420975861,8.349994929580954e-05
122,1.1810768756923906,8.388113048756123e-05
123,1.096765328268399,8.419226243389236e-05
124,1.0232862113191583,8.444568657783663e-05
125,0.9668953029378414,8.462882173974829e-05
126,0.9329534790740263,8.47342667849864e-05
127,0.7212336271256939,8.530974842466098e-05
128,0.7749397014339612,8.517728973414773e-05
129,0.8536498878795038,8.49665116768866e-05
130,0.9436104810127544,8.470153267627147e-05
131,1.036268376894761,8.440210895463294e-05
132,1.127391319321077,8.408176904108434e-05
133,1.2154834604787688,8.374797313922152e-05
134,1.2100665218821771,8.376919816598181e-05
135,1.1382658394346132,8.404183967855396e-05
136,1.0778903769177703,8.425896252342235e-05
137,1.0256411974092696,8.443782359374952e-05
138,0.9864675633420473,8.456638051191e-05
139,0.7899832914888325,8.513854019716624e-05
140,0.8305979869854627,8.503028809255759e-05
141,0.886912963339205,8.487151570690469e-05
142,0.9519442990429446,8.46757136780204e-05
143,1.0222544788963388,8.444912598085127e-05
144,1.0969538213562355,8.419161141068309e-05
145,1.147334726824404,8.40082650473851e-05
146,1.1151971548560482,8.41261150616523e-05
147,1.0718892454603048,8.427993354119455e-05
148,1.0440188637289396,8.43758547642484e-05
149,0.8287772479111387,8.503525348471656e-05
150,0.8447369758353518,8.49913706115741e-05
151,0.87600222274372,8.490306147687852e-05
152,0.9216150305774342,8.476867170885672e-05
153,0.9815341207512998,8.458223227060891e-05
154,1.0558632393699003,8.433539337192985e-05
155,1.0844632545237847,8.423584659360861e-05
156,1.0734252205315753,8.427455703927892e-05
157,0.8191598640451956,8.506130633768304e-05
158,0.8136891140482597,8.507599483198894e-05
159,0.8320758818025055,8.50262379268265e-05
160,0.8763645830575878,8.490201984044837e-05
161,0.9457022999481248,8.469508392457542e-05
162,1.0366480255734771,8.4400827249098e-05
163,0.7733177252384867,8.51814359939981e-05
164,0.7640999429881653,8.520478003716461e-05
165,0.7916486931105294,8.513420479120324e-05
166,0.8545828533601338,8.496389498026545e-05
167,0.7303071842806699,8.52880201325951e-05
168,0.7397244519732825,8.526519830231382e-05
169,0.48443666232825333,8.578241723000991e-05
170,0.6116532933715296,8.555116093606678e-05
171,0.7432751949339441,8.525651592627193e-05
172,0.870231143549451,8.491958187788026e-05
173,0.9923050149222338,8.454752611841983e-05
174,1.1113839494787339,8.413988919836154e-05
175,1.229278661760029,8.3693609742068e-05
176,1.3461681915278019,8.321003317135341e-05
177,1.4588501648242111,8.270596297953754e-05
178,1.5592435739250403,8.222619337365003e-05
179,1.632698927131418,8.185732745268079e-05
180,0.5907786258919427,8.559273802837416e-05
181,0.6818776756598919,8.540092248076635e-05
182,0.7854375974493196,8.515032852592521e-05
183,0.8943343729778349,8.484982984290376e-05
184,1.0070854817491286,8.449931253706901e-05
185,1.123508807377314,8.409591632235529e-05
186,1.2427441871048448,8.3639945791938e-05
187,1.3617817802099472,8.314238845093327e-05
188,1.4737339762077684,8.263664619069401e-05
189,1.5629962450380597,8.220774946015252e-05
190,1.5691079654668874,8.217752394701733e-05
191,1.4865008906115722,8.257664886716784e-05
192,1.3782563306074531,8.307024174428396e-05
193,1.2641974194082077,8.35533700272901e-05
194,1.1541694289540594,8.398279659844344e-05
195,1.0514757911804444,8.43504386287417e-05
196,0.9551400214382487,8.466574945475396e-05
197,0.8624759218557154,8.494163393982082e-05
198,0.7716460198078037,8.51856897888301e-05
199,0.6847386659253643,8.539446304960317e-05
200,0.6436850713886485,8.548462292370464e-05
201,0.7128755600892192,8.532952884619826e-05
202,0.8042270001532476,8.51011746451557e-05
203,0.9099106350511766,8.480379282674118e-05
204,1.024923699869471,8.44402210423253e-05
205,1.1451535906124353,8.401634073248817e-05
206,1.266262815758236,8.354498930099502e-05
207,1.3822135597491096,8.305276278787313e-05
208,1.4793732373894355,8.261018241008473e-05
209,1.49472158926596,8.253779343407986e-05
210,1.4044352078740598,8.295397296794207e-05
211,1.2934431022929747,8.343316954045198e-05
212,1.1827679413669712,8.387466927341675e-05
213,1.0828631638836899,8.4241501208918e-05
214,0.9974115402642983,8.453092854267436e-05
215,0.925668099642722,8.475642901798295e-05
216,0.8649947457048093,8.493450545552827e-05
217,0.8134035152775296,8.507675902145572e-05
218,0.6672077618353424,8.543363569621952e-05
219,0.7345274460911405,8.527783313063602e-05
220,0.8297160465795879,8.50326945753303e-05
221,0.9409542637942475,8.470973633940247e-05
222,1.0592971193121878,8.432357663972909e-05
223,1.1780638646041506,8.389264448739283e-05
224,1.2914691076718343,8.34413643381378e-05
225,1.3892953484955208,8.302142490633888e-05
226,1.413293493962869,8.29141806598062e-05
227,1.3243252400166985,8.330343814087098e-05
228,1.2185165572391372,8.373606388593116e-05
229,1.1172257934170398,8.411876906939588e-05
230,1.0302255298126266,8.442244975505251e-05
231,0.9617622068371826,8.464499984773223e-05
232,0.9124968589496557,8.479607273375452e-05
233,0.8809736352475509,8.488873449458805e-05
234,0.6995790994700269,8.536053268525335e-05
235,0.7770442825267534,8.517191075006022e-05
236,0.8778225744349123,8.489782452052003e-05
237,0.9881691429513235,8.456089553659814e-05
238,1.098917156893372,8.41845911954777e-05
239,1.2041263956284833,8.37923446760323e-05
240,1.2970160465724228,8.341830756835382e-05
241,1.331927180857982,8.32711085394028e-05
242,1.252473626236641,8.360087832497038e-05
243,1.16038393435077,8.39595161423917e-05
244,1.0746606795576092,8.427024288805822e-05
245,1.0032391570239314,8.451192454965342e-05
246,0.9507909400943045,8.467928646299596e-05
247,0.9202584419073118,8.477277739806277e-05
248,0.7592135995971916,8.521704430430912e-05
249,0.8396268472253758,8.500549728851414e-05
250,0.932660808094245,8.473516030753979e-05
251,1.027975817873708,8.443001164942597e-05
252,1.1195365511442406,8.411036498692697e-05
253,1.2031764239647191,8.379603652483144e-05
254,1.2518224304179655,8.360350367576934e-05
255,1.205097268315149,8.378854446556575e-05
256,1.1198519940132796,8.410924055345859e-05
257,1.0548582171254053,8.433884499570812e-05
258,1.001771298995065,8.451672550235829e-05
259,0.965329034314703,8.463375093672638e-05
260,0.8258068443518685,8.504333152671756e-05
261,0.8922344973009352,8.485599335183805e-05
262,0.9639011206751437,8.463826858741153e-05
263,1.0362670379242247,8.440211347424959e-05
264,1.1069065615576974,8.415600577229529e-05
265,1.1681099385392077,8.393038717334916e-05
266,1.1506006932087716,8.399609032643986e-05
267,1.0933907706255148,8.420428437138104e-05
268,1.0523751097145555,8.434735956128097e-05
269,1.0203422780917133,8.445549180589095e-05
270,0.864255061329324,8.493660468701938e-05
271,0.9066257725187259,8.481356805214367e-05
272,0.9547932482820424,8.466683223528076e-05
273,1.0092834288611163,8.449208488218966e-05
274,1.0701472627771753,8.428600017729073e-05
275,1.1026092896040678,8.417141633766709e-05
276,1.076548629764401,8.426364121013564e-05
277,1.0609093615913427,8.431801602287984e-05
278,0.8564710493021577,8.495857800196774e-05
279,0.8790872783408945,8.48941799352238e-05
280,0.9155563945291704,8.478691258290493e-05
281,0.9687783019935083,8.462286640332353e-05
282,1.0388933001134275,8.439325640736366e-05
283,1.0718499466034466,8.428007050648077e-05
284,0.8140567080132763,8.50749993576476e-05
285,0.8346781047516386,8.501912280257e-05
286,0.879615182236425,8.489265714205086e-05
287,0.9493446736616376,8.468378021756067e-05
288,0.7741271447846824,8.517937314350993e-05
289,0.8130319064699186,8.507775296272724e-05
290,0.7332024108434158,8.52810406341817e-05
291,0.8021895103492509,8.510655928845068e-05
292,0.8825047686662976,8.488430622672049e-05
293,0.9716570324647126,8.461374047351001e-05
294,1.0691685900659036,8.428940441076049e-05
295,1.1745921818614697,8.390582705643772e-05
296,1.2855200873624557,8.346599116457944e-05
297,1.3949478230388737,8.29963392853521e-05
298,1.4841010933331487,8.258795536527405e-05
299,0.7562652335862717,8.522440740111932e-05
300,0.8237801250403357,8.504882709797613e-05
301,0.9075943799530866,8.481067496839903e-05
302,1.0017211183964376,8.451688951065081e-05
303,1.102069206535672,8.417334914654721e-05
304,1.2054209087778418,8.378730947369242e-05
305,1.3071854838683414,8.337577199952222e-05
306,1.3934747049391378,8.300289415042844e-05
307,1.3988617615585444,8.29788609887845e-05
308,1.3118675240377415,8.335609865315968e-05
309,1.2101329722540168,8.37689386329635e-05
310,1.1123202000765442,8.41365113709742e-05
311,1.0245379380493906,8.444150936883068e-05
312,0.9488043771664633,8.468547277515177e-05
313,0.8857550504901781,8.487486782774637e-05
314,0.836251539166935,8.501479082247038e-05
315,0.7868518080074336,8.514666813683961e-05
316,0.863717663841438,8.493812873959326e-05
317,0.9534045408711646,8.46711646280784e-05
318,1.0473620043452123,8.436447282678019e-05
319,1.1404590176278862,8.403374307518195e-05
320,1.2293133432136782,8.369344704060413e-05
321,1.3056597847951268,8.33821970550668e-05
322,1.3219842874136942,8.331336855284721e-05
323,1.2362340442393687,8.366594609547972e-05
324,1.1482339853571015,8.400492220706885e-05
325,1.0677755090771894,8.429422567567741e-05
326,0.9994732891013409,8.452422819729563e-05
327,0.9453317417222932,8.46962146551168e-05
328,0.9069226373904126,8.481268602658951e-05
329,0.8420437437925751,8.499883268052291e-05
330,0.9225247829913045,8.476593954575885e-05
331,1.006520762132162,8.450116711897789e-05
332,1.0871229446623047,8.422648313881185e-05
333,1.1611502159045703,8.395663742640289e-05
334,1.2246280769735818,8.37120086231096e-05
335,1.244639113550257,8.363235400294106e-05
336,1.1731803949148292,8.39112100436293e-05
337,1.1039438392934455,8.4166636522103e-05
338,1.0437270749450078,8.437684653988702e-05
339,0.9955243495448951,8.453706564524623e-05
340,0.9617088776763162,8.464516749431316e-05
341,0.9046859121765404,8.481931069632265e-05
342,0.9736664365142116,8.460735508138512e-05
343,1.0390581618753139,8.439269855114277e-05
344,1.0980613866531,8.418766412711022e-05
345,1.1494374784311254,8.400044458240992e-05
