Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.24572969004045808,8.615672828613156e-05
2,0.4676603632304767,8.611321270789682e-05
3,0.6629246646984094,8.605258055438647e-05
4,0.8391656042636747,8.597994964394281e-05
5,1.0021060564305326,8.589773433034902e-05
6,1.154097879894463,8.580804370226928e-05
7,1.295584895084701,8.57133212270424e-05
8,1.425769045958834,8.561664138077992e-05
9,1.5423979106467258,8.552231040445084e-05
10,1.641096527619137,8.543680787847899e-05
11,1.7148656076859574,8.53695182094618e-05
12,1.7550417998016907,8.533165698175185e-05
13,0.24276694883676814,8.615712619666166e-05
14,0.40031124915668664,8.612927613882417e-05
15,0.5767627597834942,8.60819086782156e-05
16,0.7417698672159803,8.60221846000194e-05
17,0.8951397003321337,8.595333610482328e-05
18,1.0397227553570991,8.587670311988889e-05
19,1.1775581763513514,8.579308518069557e-05
20,1.3094263741670742,8.570347493889148e-05
21,1.4344263465700131,8.560988944316009e-05
22,1.549298271034069,8.551650146761273e-05
23,1.6477709575380002,8.543083861166016e-05
24,1.720693404927296,8.536407922896896e-05
25,1.7350513500760594,8.535060242782917e-05
26,1.6818725954055262,8.539997041863693e-05
27,1.5959180988251245,8.54765900029661e-05
28,1.4890050360777296,8.5566398408762e-05
29,1.3704693191462294,8.565882166466227e-05
30,1.245388403404023,8.574816312980484e-05
31,1.1151379738862341,8.583222712553304e-05
32,0.9787437881185876,8.59104091669556e-05
33,0.8339687984392962,8.59823339022849e-05
34,0.6779191018181211,8.604706169335451e-05
35,0.5088236610412965,8.610216975128643e-05
36,0.3391905495075487,8.614169908612242e-05
37,0.4327191932240571,8.612185719115673e-05
38,0.5357376474562393,8.6094444301395e-05
39,0.662541266170079,8.605272005589257e-05
40,0.7935134297730965,8.600039092287819e-05
41,0.924431831950422,8.59387286800849e-05
42,1.0553902079607194,8.586771703000436e-05
43,1.1866856015658314,8.578718504248411e-05
44,1.3172650778805746,8.569785304657777e-05
45,1.4439263288372548,8.560243406036197e-05
46,1.5608239411296576,8.550674213554176e-05
47,1.6593887479470446,8.542039177785951e-05
48,1.6891568147564504,8.53932968331704e-05
49,1.6209295989348582,8.545470020384675e-05
50,1.5198373813817327,8.554112511502634e-05
51,1.4031714129019575,8.56340761864786e-05
52,1.28338392722332,8.572191496030366e-05
53,1.1665366218985693,8.580014969944865e-05
54,1.0533724353851575,8.586888179673162e-05
55,0.9415916693145691,8.592995450215312e-05
56,0.8282118179856611,8.598495797304728e-05
57,0.712129803316035,8.603400985811042e-05
58,0.5987656723574761,8.607480564340845e-05
59,0.5507428577740489,8.608996627319574e-05
60,0.6130164306309406,8.607006372836958e-05
