Frequency_THz,Cv_Contribution_eV_K
0.24572969004045808,8.615861771080111e-05
0.4676603632304767,8.611948886451566e-05
0.6629246646984094,8.606396401810218e-05
0.8391656042636747,8.59970062111225e-05
1.0021060564305326,8.592111232839899e-05
1.154097879894463,8.583813932589396e-05
1.295584895084701,8.575039360305198e-05
1.425769045958834,8.565968630673155e-05
1.5423979106467258,8.557013969968479e-05
1.641096527619137,8.548929040342042e-05
1.7148656076859574,8.54202925153534e-05
1.7550417998016907,8.538343717460681e-05
0.24276694883676814,8.615792861804903e-05
0.40031124915668664,8.613280964503016e-05
0.5767627597834942,8.609024057711128e-05
0.7417698672159803,8.603559397095751e-05
0.8951397003321337,8.597210274392147e-05
1.0397227553570991,8.590155847561664e-05
1.1775581763513514,8.582434080753888e-05
1.3094263741670742,8.574056180153482e-05
1.4344263465700131,8.56536898061676e-05
1.549298271034069,8.556469969091562e-05
1.6477709575380002,8.548161692738471e-05
1.720693404927296,8.541553389592647e-05
1.7350513500760594,8.54019286942295e-05
1.6818725954055262,8.545018503954723e-05
1.5959180988251245,8.55264755043814e-05
1.4890050360777296,8.561202178189433e-05
1.3704693191462294,8.56989739856295e-05
1.245388403404023,8.578199507618559e-05
1.1151379738862341,8.585963346122631e-05
0.9787437881185876,8.593190380128644e-05
0.8339687984392962,8.599798654424279e-05
0.6779191018181211,8.605774614788922e-05
0.5088236610412965,8.610761046791429e-05
0.3391905495075487,8.61434510338113e-05
0.4327191932240571,8.61251141196844e-05
0.5357376474562393,8.610050791346383e-05
0.662541266170079,8.606299726534358e-05
0.7935134297730965,8.601499665619127e-05
0.924431831950422,8.595845280586422e-05
1.0553902079607194,8.589311790939212e-05
1.1866856015658314,8.581861133133896e-05
1.3172650778805746,8.573527585290502e-05
1.4439263288372548,8.56467079373134e-05
1.5608239411296576,8.555640145676944e-05
1.6593887479470446,8.547222574609509e-05
1.6891568147564504,8.54452016809223e-05
1.6209295989348582,8.550434489199655e-05
1.5198373813817327,8.558829993919513e-05
1.4031714129019575,8.56746738634911e-05
1.28338392722332,8.575641549241774e-05
1.1665366218985693,8.582918515464663e-05
1.0533724353851575,8.589225612318422e-05
0.9415916693145691,8.59479623970873e-05
0.8282118179856611,8.599842346658115e-05
0.712129803316035,8.604362913426282e-05
0.5987656723574761,8.608132463557075e-05
0.5507428577740489,8.609585617416864e-05
0.6130164306309406,8.607805274344528e-05
0.7050581917324599,8.604794818539339e-05
0.8146258510235761,8.600596188992947e-05
0.9356881978766639,8.595324377385219e-05
1.064835523051488,8.588807849879237e-05
1.1987389683372143,8.581107386946509e-05
1.3329845512322742,8.572517759841224e-05
1.461632579816814,8.563316440640236e-05
1.5771015995146702,8.554347716104839e-05
1.6229110684270556,8.550363446755733e-05
1.5432330394458087,8.556901641706627e-05
1.430558652588072,8.565435590752202e-05
1.3082922350876718,8.573965746146137e-05
1.1908711734874409,8.581356194537215e-05
1.0853181876090563,8.587418864310805e-05
0.9926851030277479,8.592195756004237e-05
0.9105237847215514,8.596036545507161e-05
0.8358253933715944,8.599323776511551e-05
0.7680780067851123,8.602137410613425e-05
0.6054809902953041,8.608008646331321e-05
0.6441174611507166,8.60681832634539e-05
0.7222214141630916,8.604149047381075e-05
0.8285084734094428,8.600000023817675e-05
0.9527376695638338,8.594454091445777e-05
1.086752043298416,8.587578782773365e-05
1.2236476007184949,8.579601523592848e-05
1.3569688495829535,8.570853438035603e-05
1.4802228391024235,8.561945778730814e-05
1.5440304669853522,8.556884828745004e-05
1.4587110544912718,8.563328868000592e-05
1.342258409498625,8.571622401032909e-05
1.2214486377205054,8.579483576492761e-05
1.110906546560731,8.585924485473248e-05
1.018453825591921,8.590818480500522e-05
0.9465276747773654,8.594279814305464e-05
0.8938401360823462,8.59665224266577e-05
0.8576188445122973,8.598267797985271e-05
0.6279000164919436,8.607331802265632e-05
0.6649896263962882,8.606120107771995e-05
0.7479393093229489,8.603148840209591e-05
0.8607590827888056,8.59857383510095e-05
0.9888273969734154,8.592640261261109e-05
1.1216917599018952,8.585588270326034e-05
1.2520502802950593,8.577759035377882e-05
1.3744043028831803,8.569637049568421e-05
1.4587427559277664,8.563417830328997e-05
1.3849103765978248,8.568663630781497e-05
1.264329498434916,8.576703755840084e-05
1.1535221661723374,8.583419776665805e-05
1.0551576894325247,8.588824063607041e-05
0.9772115778574961,8.592711197667907e-05
0.924131846846076,8.595181213492094e-05
0.8970021693550715,8.596424087264635e-05
0.6598076710013397,8.606267966477534e-05
0.7093506404955392,8.604506938498709e-05
0.7994367110676133,8.601034475156058e-05
0.9113579445853407,8.596222740946744e-05
1.0311189892166626,8.590440124401036e-05
1.1502691274665324,8.583914601874141e-05
1.2639516284718437,8.576962261420874e-05
1.3692994357764676,8.56996544106729e-05
1.3066243619488633,8.573898963613245e-05
1.2010495995362354,8.580515637561108e-05
1.108684970510117,8.58576301370244e-05
1.0282512865914653,8.590014327158457e-05
0.9668816935986575,8.593059357248135e-05
0.9308127885894355,8.594787928345019e-05
0.7208241524923322,8.604035297248857e-05
0.7758906468076672,8.601862309665527e-05
0.8586355724437017,8.598428404212425e-05
0.9542814941568974,8.594108667058234e-05
1.0535952460984435,8.58917684792448e-05
1.1519537209461974,8.583751099102289e-05
1.2475123713195881,8.578001527306497e-05
1.2330950344798661,8.578467361451449e-05
1.152026491519982,8.58313030151634e-05
1.084624212055762,8.586792256459955e-05
1.0273468488386097,8.589839517876906e-05
0.9857624461469621,8.592009836407762e-05
0.7895020733085338,8.601210433470291e-05
0.8319317321466031,8.599408637523977e-05
0.8926081268988586,8.596810259388527e-05
0.963716951349646,8.593615107457874e-05
1.0411987070514415,8.589814190012751e-05
1.1236477846567208,8.585393447944336e-05
1.1645271026208914,8.582356989275059e-05
1.1244491442782885,8.584443326120534e-05
1.0755989246851665,8.58709696832578e-05
1.0452954090809978,8.588761999467119e-05
0.829423746430824,8.599427078090377e-05
0.8476642423571563,8.598665694177813e-05
0.8836500697593238,8.597190262863295e-05
0.9357106291743432,8.594956455993603e-05
1.0030701545278906,8.591822044904032e-05
1.0850862301020359,8.587584274212604e-05
1.0905505559688489,8.586158433333914e-05
1.076737074150825,8.586903784724304e-05
0.8220030281612669,8.599730532220088e-05
0.8191682308205538,8.599899507988279e-05
0.8424623556703744,8.59902651691087e-05
0.8931200231493678,8.596941032160498e-05
0.9693806135305684,8.593515356270889e-05
1.0664183937633602,8.587352690149845e-05
0.7789728692876999,8.60153240927541e-05
0.7723031648382522,8.601844768364827e-05
0.8042521948582039,8.600646291321959e-05
0.8725857688353064,8.597850578371294e-05
0.7381885257625797,8.603141242657022e-05
0.7491955178563786,8.602748468320586e-05
0.4892726662839666,8.611177449391436e-05
0.6187853104630509,8.607591440044075e-05
0.7545933557907853,8.602921546025158e-05
0.886200945663252,8.597463203389067e-05
1.0134157911472217,8.591413582836256e-05
1.1382222761802099,8.584647847680614e-05
1.2622458923720739,8.577066206164967e-05
1.3852795307587484,8.568802616677466e-05
1.5036891372922163,8.560085773817391e-05
1.6089831710753728,8.551558001226016e-05
1.6860341470265046,8.544736007100453e-05
0.595131021478422,8.608276611954865e-05
0.6873406892941989,8.605296018624731e-05
0.7947686299008069,8.601285591868725e-05
0.908746549536837,8.596398454367962e-05
1.0272968256442212,8.590670236689953e-05
1.149989176468113,8.583923640083011e-05
1.275661436698561,8.576177406918669e-05
1.400960342350827,8.567655749822293e-05
1.5186838658246284,8.558897687933545e-05
1.6129549304267137,8.551201244200983e-05
1.6197595761453665,8.550608767823902e-05
1.5323628844748964,8.55771274609718e-05
1.4179042982896009,8.566380749865248e-05
1.296853059655766,8.574707310125232e-05
1.1794657075499468,8.582117221894752e-05
1.0695528598083925,8.588311871711024e-05
0.9667280097658894,8.593534797425543e-05
0.868885916473251,8.598022238775878e-05
0.7748164381587057,8.601930150401741e-05
0.6876035106052485,8.605197285484203e-05
0.6466231833648951,8.606659495670143e-05
0.7167674994168811,8.604227300677592e-05
0.8122196084474222,8.600556472739945e-05
0.9233811223696532,8.59571086689453e-05
1.0445227681731364,8.58973618405386e-05
1.1712098633460957,8.582653552639095e-05
1.2988641466096333,8.574709665290319e-05
1.4212388696854272,8.566204131561592e-05
1.524646578711226,8.558457646017637e-05
1.5417280908349194,8.557065786010089e-05
1.4451324193199502,8.564429247946275e-05
1.3267985048084028,8.572692187305085e-05
1.2082167936898984,8.580292168925289e-05
1.1002826416881937,8.586568095125886e-05
1.0073533239211678,8.591412653026386e-05
0.9295419624702576,8.595116797328101e-05
0.8651155240939382,8.597988481666771e-05
0.8129939095004949,8.600262404441064e-05
0.668611572572855,8.605930469020092e-05
0.7370913427792729,8.603462885725218e-05
0.8366479702569354,8.599488635085764e-05
0.953566848991989,8.59423832701274e-05
1.0781895565389492,8.58789909101503e-05
1.2035809959892136,8.580706744964198e-05
1.3238235349346605,8.572968093145188e-05
1.4287637123708683,8.565654842693075e-05
1.4556609244914291,8.563633647431094e-05
1.3588672476751396,8.570473456349643e-05
1.2448787394607455,8.577968735991212e-05
1.1352428741596123,8.584532584541488e-05
1.040294750423979,8.589652468827927e-05
0.9651539667420908,8.593335815698968e-05
0.9114734606754312,8.59580767466433e-05
0.8786665753262978,8.597284651768036e-05
0.6995966104926408,8.604832104724887e-05
0.7785463206711983,8.601787953797643e-05
0.8839331954213933,8.597359864580626e-05
1.0001446990301839,8.591864675712766e-05
1.117408507111428,8.585644402454237e-05
1.2296094571923435,8.579013330576365e-05
1.3299925170838436,8.572549129221779e-05
1.3688566551064754,8.569840685480723e-05
1.2803378279815658,8.575659657696677e-05
